DISTRICT,D20708DR16R,D20708DR17R,D20912DR16R,D20912DR17R,D20AT16R,D20AT17R,D30708DR16R,D30708DR17R,D30912DR16R,D30912DR17R,D30AT16R,D30AT17R,D40708DR16R,D40708DR17R,D40912DR16R,D40912DR17R,D40AT16R,D40AT17R,DA0708DR16R,DA0708DR17R,DA0912DR16R,DA0912DR17R,DA0AT16R,DA0AT17R,DB0708DR16R,DB0708DR17R,DB0912DR16R,DB0912DR17R,DB0AT16R,DB0AT17R,DE0708DR16R,DE0708DR17R,DE0912DR16R,DE0912DR17R,DE0AT16R,DE0AT17R,DF0708DR16R,DF0708DR17R,DF0912DR16R,DF0912DR17R,DF0AT16R,DF0AT17R,DH0708DR16R,DH0708DR17R,DH0912DR16R,DH0912DR17R,DH0AT16R,DH0AT17R,DI0708DR16R,DI0708DR17R,DI0912DR16R,DI0912DR17R,DI0AT16R,DI0AT17R,DL0708DR16R,DL0708DR17R,DL0912DR16R,DL0912DR17R,DL0AT16R,DL0AT17R,DM0708DR16R,DM0708DR17R,DM0912DR16R,DM0912DR17R,DM0AT16R,DM0AT17R,DR0708DR16R,DR0708DR17R,DR0912DR16R,DR0912DR17R,DR0AT16R,DR0AT17R,DS0708DR16R,DS0708DR17R,DS0912DR16R,DS0912DR17R,DS0AT16R,DS0AT17R,DW0708DR16R,DW0708DR17R,DW0912DR16R,DW0912DR17R,DW0AT16R,DW0AT17R
"001902",-1,0,0,0,97.1,97.2,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,1,0,96.8,96.5,-1,-1,0,0,96.7,95.2,0,0,1.6,0,96.1,95.5,0,0,0,0,96.8,96.5,0,0,40,0,96,96,.,.,.,.,.,.,.,.,-1,-1,-1,-1,0,0,2,0,96.7,96.4,0,0,1.2,0,96.4,96.1,0,0,0,0,95.2,95.7,0,0,0,0,96.8,96.5
"001903",0,0,0,0,97.2,96.9,-1,-1,0,0,99.6,99.2,-1,-1,.,-1,-1,-1,0.4,0,0.3,0,96.6,96.7,0,0,0,0,97.8,97.3,0,0,0.5,0,96,96.1,0.9,0,0,0,96.6,96.6,0,0,0,0,96.7,96.6,.,.,-1,.,-1,.,-1,-1,.,.,95.8,96.7,0,0,0.5,0,96.6,96.7,0,0,0.9,0,95.7,96.1,0,0,0,0,96.2,95.8,0.6,0,0.3,0,96.5,96.6
"001904",-1,-1,0,-1,96.5,96.3,-1,.,-1,-1,96,95.4,.,.,.,.,-1,.,0,0,0.4,0.7,96.2,96.2,0,0,0,0,96.6,96.7,0,0,0.7,1.4,95.9,95.7,0,0,0,0.8,96,96.1,0,0,0,3.3,96.1,96.8,-1,-1,-1,-1,-1,-1,-1,.,-1,0,98.5,97.4,0,0,0.7,0.6,96.4,96.3,0,0,0.9,0,95.9,95.7,0,0,0,3.8,95.2,95.3,0,0,0.5,0.5,96.1,96.1
"001906",.,.,-1,0,96,94.1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0,0,96.4,96.1,0,0,0,0,96.2,96.8,0,0,0,0,96.1,95.8,0,0,0,0,96.4,96,0,0,0,0,97.2,96.9,.,.,.,.,.,.,-1,-1,-1,-1,-1,97,0,0,0,0,96.5,96.3,0,0,0,0,95.1,95.8,0,0,0,0,94.2,93.8,0,0,0,0,96.4,96
"001907",0,0,0,0,96.4,95.7,0,-1,0,0,97,97.5,.,.,.,.,-1,-1,0,0.2,0.2,0.2,95.7,95.6,0,0,0.4,0.4,95.6,95.5,0,0.2,0.3,0.3,95.6,95.4,0,0.4,0.2,0.2,95.8,95.5,0,0,0.3,0,96.2,96.2,.,-1,0,-1,94.3,87.2,0,0,0,0,96.6,96.5,0,0,0.2,0.2,95.7,95.7,0,0,0.3,0.3,95.5,95.1,0,0,0,0,94.3,94,0,0.7,0,0.3,94.9,94.7
"001908",0,0,0,0,96,95.8,-1,-1,0,0,95.9,98,.,.,.,.,.,.,0,0,0,0,96,96,0,0,0,0,97,97,0,0,0,0,95.9,95.9,0,0,0,0,95.9,96.1,0,0,0,0,96.5,96.4,-1,-1,-1,-1,93.8,94.7,0,0,0,0,97.5,96.4,0,0,0,0,96.1,95.8,0,0,0,0,95.9,95.7,0,0,0,0,95.6,94.6,0,0,0,0,95.4,95.5
"001909",-1,-1,.,-1,98.2,96.4,.,-1,.,-1,.,-1,.,.,.,.,.,.,0,0,0,0,97.5,97.3,-1,.,-1,.,96.8,-1,0,0,0,0,97,97.1,0,0,0,0,97.3,97.4,-1,-1,0,-1,97,97.5,.,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,0,0,0,0,97.7,97.3,0,0,0,0,97,97,0,0,0,0,95.6,95.9,0,0,0,0,97.5,97.4
"002901",0,0,0,0,96.6,96.6,-1,-1,-1,-1,98,97.7,.,-1,.,-1,.,-1,0,0,0.8,0.5,96.8,96.9,0,0,0,0,95.9,96.1,0,0,1.5,0.5,96.5,96.5,0,0,0.9,0.4,96.8,96.9,0,0,0.9,0.4,96.9,96.9,-1,-1,-1,-1,96.6,96.1,0,0,2.5,0,97.1,97.3,0,0,0.7,0.5,96.8,96.9,0,0,1.6,0.5,96.6,96.6,0,0,0,0,96.3,96.4,0,0,0.6,0.6,96.8,96.8
"003801",-1,-1,0,0,95.7,97.1,0,-1,0,0,98.8,98.7,.,.,.,.,.,-1,0,0,0,0,96.3,96.1,0,0,0,0,96.9,96.8,0,0,0,0,96.3,96.2,0,0,0,0,96.3,95.9,0,0,0,0,96.4,96.3,.,.,.,.,.,.,0,0,-1,-1,97.3,97,0,0,0,0,96.2,96.3,0,0,0,0,96.1,96.2,0,0,0,0,96.2,96.1,0,0,0,0,96,95.6
"003902",0,0,6.7,10,95.5,96.4,-1,0,0,0,98.7,98,.,.,.,.,.,.,0.2,0,0.8,0.5,96.4,96.4,0,0,3.6,0,96.9,95.7,0.5,0,1.2,0.7,96,95.9,0,0,0.7,0.5,96.5,96.5,0,0,0,0,96.5,96.7,-1,-1,-1,-1,96.7,94.8,0,0,0,0,97.3,97.3,0.5,0,1,0.5,96.3,96.2,0,0,1.2,1.5,95.8,95.7,2.8,0,1.3,1.4,95.1,95.3,0.3,0,0.7,0.5,96.3,96.3
"003903",0,0,0,0,95.2,94.9,7.1,4.8,0,2.2,98.1,97.9,.,.,0,0,93.8,94.7,1.4,0.2,1.9,1.5,96.2,96.1,2.3,0,1.2,2,96.1,96.1,1.4,0.2,1.9,1.5,96.1,96,1.1,0.2,1.8,1,96.2,96.1,1.1,0,2.9,1,96.5,96.4,0,0,-1,-1,95.4,94.2,2.7,0.5,3.2,3.5,97.1,97,1.7,0.2,1.9,1.9,96.1,96.2,1.5,0.3,2.2,2.4,95.9,95.9,1.9,0.6,2.1,2,94.2,94.5,0.6,0.3,1.4,1.7,95.8,95.7
"003904",0,0,0,0,95.4,96.1,.,.,.,-1,-1,-1,.,.,-1,.,-1,-1,0,0,0.8,0.5,95.3,95.2,0,0,0,0,95,95,0,0,1.3,0.3,94.5,94.7,0,0,0.7,0.3,95.3,95,0,0,0,0,95.3,95.1,-1,-1,20,0,92.1,94.5,-1,.,-1,-1,96.3,95.2,0,0,0.9,0.6,95.3,95.4,0,0,1.6,0.6,94.4,94.5,0,0,1.4,0,94.2,94.8,0,0,0.7,0.5,95.3,95.2
"003905",0,0,0,0,96.8,94.8,.,.,-1,-1,95.9,98.8,.,.,-1,-1,-1,-1,0,0,0.4,0.4,96,95.8,0,0,0,1.5,95.9,95.2,0,0,0.5,0.5,95.7,95.5,0,0,0.4,0.7,95.9,95.6,0,0,0.7,0.3,96.4,96.1,.,.,-1,-1,-1,-1,0,0,0,0,96.8,96.5,0,0,0.4,0,96.1,95.9,0,0,0.3,0.3,95.8,95.4,0,0,1.4,1.4,94.8,93.9,0,0,0,0,95.3,95.4
"003906",-1,-1,-1,-1,92.5,95.2,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,1.7,95.6,95.1,-1,-1,-1,-1,-1,-1,0,0,0,1.4,95.4,94.9,0,0,0,1.5,95.8,95.1,0,0,0,0,94.7,93.4,-1,-1,.,-1,-1,-1,.,.,.,.,-1,.,0,0,0,1.9,95.3,95.2,0,0,0,4.3,94.9,94.7,0,0,0,5.6,94.6,92.9,0,0,0,1.9,95.6,95.2
"003907",0,-1,0,0,96.1,95.3,.,.,-1,-1,-1,-1,.,.,.,-1,.,-1,0,0,0.8,0.6,95.8,95.6,0,0,3.4,0,95,95.9,0,0,0.9,0.5,95.8,95.2,0,0,0.4,0.4,96.1,95.4,0,0,1.2,0,96.7,96.6,-1,-1,-1,-1,95.1,94.7,-1,0,-1,-1,96.7,96.3,0,0,1.2,0.9,95.6,95.8,0,0,0.4,0.5,95.2,94.9,0,0,1.7,0,94.5,94.9,0,0,0.5,0.8,95.7,95.3
"004901",0,0,0,0,95.8,96.2,0,0,0,0,97.9,97.8,.,-1,.,.,-1,-1,0,0,1.9,1.5,95.4,95.3,0,0,6.7,7.1,94.1,94.1,0,0,2.1,2.3,95,95.1,0,0,1.7,1.4,95.3,95.4,0,0,2.3,1.7,95.7,95.5,-1,-1,0,-1,96.4,95.4,0,0,0,0,96.3,96.8,0,0,2.1,1.6,95.4,95.3,0,0,2.4,1.6,94.6,94.7,0,0,1.1,3,94.7,94.3,0,0,1.8,1.3,95.1,95.2
"005901",0,-1,0,0,95.9,94.6,.,.,.,.,-1,-1,.,.,.,.,.,.,0,0,0,0,96.8,96.4,.,.,0,-1,-1,-1,0,0,0,0,96.3,95.6,0,0,0,0,97,96.4,0,0,0,0,97.1,96.5,.,.,-1,.,-1,-1,-1,-1,-1,.,-1,-1,0,0,0,0,96.6,96.5,0,0,0,0,95.7,95.5,0,0,0,0,95.9,95.1,0,0,0,0,96.9,96.5
"005902",-1,-1,-1,-1,95.3,96.1,.,.,-1,.,-1,-1,.,.,.,.,-1,.,0,0,0,0,97.2,97.4,.,-1,-1,-1,-1,-1,0,0,0,0,96.5,96.6,0,0,0,0,97,97.4,0,0,0,0,97,97.1,-1,-1,-1,-1,96,97.1,.,.,.,.,-1,-1,0,0,0,0,97.4,97.4,0,0,0,0,96.9,96.9,0,0,0,0,95.5,96.3,0,0,0,0,97.3,97.5
"005904",.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.6,0,97.4,97.7,.,-1,.,.,-1,-1,0,0,2,0,97.2,97.4,0,0,0,0,97.4,97.6,0,0,2.3,0,97.5,97.4,.,-1,-1,-1,-1,-1,-1,-1,-1,.,97.2,97.7,0,0,1.2,0,97.3,97.9,0,0,2.9,0,97,97.4,-1,0,0,0,96.3,96.1,0,0,0,0,97.4,97.9
"006902",-1,-1,-1,.,94.8,95.9,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,96.5,96.3,-1,-1,-1,0,96.9,96,0,0,0,0,96.2,96.2,0,0,0,0,96.5,96.6,0,0,0,0,96.5,96.8,.,-1,.,.,-1,-1,-1,.,.,-1,98.9,97.1,0,0,0,0,96.5,96,0,0,0,0,96.1,96.6,0,0,0,0,96.1,96.8,0,0,0,0,96.5,96.3
"007901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.6,0,96.2,95.9,.,.,-1,.,-1,.,0,0,0.9,0,95.7,95.7,0,0,1.3,0,96.5,96,0,0,0.7,0,96.2,95.9,.,.,.,.,.,.,-1,-1,-1,-1,93.7,95.2,0,0,0,0,96,95.9,0,0,0.8,0,95.8,95.6,0,0,0,0,95.1,95.1,0,0,0,0,96.7,95.8
"007902",0,-1,0,0,97.6,96.5,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,0.6,0.6,96.7,96.2,-1,-1,-1,0,98.5,97.3,0,0,0.9,0.8,96.2,95.8,0,0,0.4,0.8,96.5,96.2,0,0,0.7,0,96.5,96,.,.,.,.,-1,-1,-1,-1,-1,0,96.7,96.8,0,0,0.8,0.4,96.8,96.3,0,0,1.4,1.3,96.2,95.7,0,0,2.6,0,95.7,95.3,0,0,0.5,1.5,96.8,96.4
"007904",.,-1,-1,-1,97,96.4,.,.,.,-1,-1,-1,.,.,-1,.,-1,-1,0.8,1.8,3.3,2.4,95.4,94.8,-1,-1,0,0,94.8,94.2,0.6,1,4,2.7,95.1,94.6,0.8,3,2.4,1.9,95.2,94.7,1,1.8,3.4,2.1,95.3,94.7,.,.,-1,-1,96.8,93.5,0,0,3.4,10.7,96,95.7,0.7,0.7,4.1,2.8,95.6,95,0.8,0.9,2.4,5,95.4,94.3,0,0,0,8.8,94.3,94,0,1.9,2.3,1.2,95.7,95.5
"007905",-1,0,0,0,96.3,95.4,-1,-1,-1,-1,98.2,97,-1,-1,.,-1,-1,-1,0.2,0,1.7,1.3,95.6,95.2,.,-1,-1,-1,95.9,94.6,0.3,0,1.4,1,95.1,94.6,0.4,0,1.2,0.8,95.5,95.2,0.3,0,2,1.6,95.4,95,-1,-1,-1,-1,96.4,93,12.5,0,0,0,96.8,96.3,0,0,2.1,1.9,95.7,95.2,0.4,0,1.3,2,94.8,94.4,0,0,2.4,1.2,94.9,94.1,0,0,1,0.7,96,95.7
"007906",.,-1,-1,-1,94.9,95.6,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,0,0,2.8,1.1,94.5,93.9,.,-1,0,0,95.1,95.3,0,0,3.1,1.6,94.3,93.4,0,0,2.6,1.1,94.3,93.5,0,0,2.6,1.3,94.5,94,.,-1,.,.,-1,-1,0,0,7.1,0,94.8,95,0,0,3,1.2,94.7,94.3,0,0,3.1,1.5,93.8,93,0,0,1.6,1.8,93.1,91.6,0,0,4.5,0,94.2,93.6
"008901",0,0,0,0,96.5,97.1,-1,-1,0,0,99.4,97.7,-1,-1,.,.,-1,-1,0,0,0.1,0.3,96.5,96.6,0,0,0,2.6,96.2,96.6,0,0,0.4,0,96,96.2,0,0,0,0,96.4,96.6,0,0,0,0,96.6,96.4,.,.,-1,.,-1,-1,0,0,0,0,96.7,95.9,0,0,0.3,0.5,96.6,96.6,0,0,0.5,0,96,96,0,0,0,0,95.4,95.2,0,0,0.2,0,96.5,96.7
"008902",0,0,0,0,96.8,96.9,0,-1,-1,0,98.6,98.6,.,.,-1,-1,-1,-1,0,0.4,1.2,0.9,96,95.8,0,0,0,2.8,95.8,96.2,0,0.4,2,1.3,95.7,95.6,0,0,0.7,0.9,96,95.9,0,0.4,2.3,0.8,95.9,95.6,-1,.,.,-1,-1,-1,0,0,7.7,0,96.8,96.5,0,0.8,1.7,0.8,96,95.7,0,0.8,2.3,2.8,95.5,95.3,0,2.2,0,1.3,94.7,94.7,0,0.6,0.5,0.5,96,95.9
"008903",-1,.,0,-1,95.2,96.3,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,1.2,1.2,96.5,96.5,0,0,3.2,4.8,95.5,95.9,0,0,1.5,1.4,96.2,96.2,0,0,0.9,0.9,96.4,96.6,0,0,0.9,1.6,96.6,96.6,.,.,.,.,.,.,0,0,16.7,7.7,97.1,97.2,0,0,1.5,1.5,96.5,96.5,0,0,3.7,3.5,96,96,0,0,0,0,95.7,94.6,0,0,1.1,0,96.4,96.6
"009901",.,.,-1,.,-1,-1,-1,-1,-1,-1,98.6,98.5,.,.,.,.,.,.,0,0,0,0.3,96.3,96.5,-1,-1,.,.,-1,-1,0,0,0,0.4,96.3,96.4,0,0,0,0.5,96.3,96.5,0,0,0,0.3,96.3,96.4,.,.,.,.,.,.,0,0,0,0,96.9,97.3,0,0,0,0,96.3,96.5,0,0,0,0.6,96.2,96.3,0,0,0,0,95.2,95.2,0,0,0,0,96.1,96.9
"010901",-1,.,-1,-1,-1,97.2,.,.,.,.,.,.,.,.,.,.,.,.,0,3.8,0,0,95.8,95.8,-1,-1,-1,0,98,95.7,0,6.1,0,0,95.5,95.7,0,0,0,0,95.6,95.8,0,0,0,0,94.8,96.7,.,.,.,.,.,.,.,.,-1,.,92.8,-1,0,9.1,0,0,96,95.7,0,0,0,0,95.5,95.9,-1,0,0,0,95.4,94.8,0,5.1,0,0,96,95.5
"010902",0,0,0,0,95.7,95.2,-1,-1,-1,-1,91.7,94.1,.,.,.,-1,-1,-1,0,0,1.7,1.5,95.1,95.1,-1,-1,16.7,-1,97.3,96.6,0,0,1.9,1.9,94.5,94.5,0,0,1.3,1.4,95.1,95,0,0,2.2,2.5,95.1,95,.,.,-1,-1,92.8,90.1,0,0,16.7,0,96.7,96.6,0,0,2.1,1.6,95,95.2,0,0,3.2,2.8,94.5,94.4,0,0,5.3,0,93.9,93.9,0,0,1.4,0.9,95,95.2
"011901",0,0,0,0,94.6,94.5,0,0,0,0,97.8,97.4,-1,-1,-1,-1,-1,-1,0,0,0.9,0.5,95.3,95,0,0,0.5,1,94.9,94.3,0,0,1.1,0.6,95.1,94.9,0,0,0.8,0.5,95.3,95,0,0,1.1,0.5,95.4,95.1,0,-1,0,0,94.5,95.1,0,0,2.7,0.9,96.2,95.7,0,0,1,0.6,95.3,95.1,0,0,1.1,0.8,95,94.6,0,0,0.9,1.2,93.6,93.6,0,0,0.7,0.5,95.2,95.1
"011902",0,0,0,0,94.8,94.9,0,0,0,0,96.1,96.1,-1,.,-1,-1,-1,-1,0.3,0.2,0.6,0.7,95.4,95,1.1,1.1,1.9,1.6,95,94.6,0.4,0,0.8,0.9,95.3,94.8,0.6,0,0.4,0.3,95.4,95.1,0.2,0,0.4,0.4,95.7,95,.,-1,-1,-1,93.5,91.5,1.2,0,0,0.8,96.7,95.8,0,0.3,0.8,1,95.4,94.9,0.3,0,0.7,0.9,95.1,94.6,0,0,0,0,94.6,93.8,0,0,0.5,0.5,95.1,95.1
"011904",0,0,5,0,95.4,95.1,-1,-1,-1,-1,98.5,98.6,.,.,-1,-1,-1,-1,0,0.4,0.7,0.2,96,95.9,0,0,0,0,96.4,96.3,0,0,1.1,0,95.5,95.5,0,0,0.7,0.4,96,95.8,0,0,0.6,0,96,96,-1,-1,-1,-1,-1,94.2,0,0,0,0,96.6,96.5,0,0.7,0.7,0,96,96,0,0.7,0.7,0,95.4,95.4,0,2.9,0,1.8,95,95.4,0,0.6,0.6,0.3,95.9,95.8
"011905",.,.,.,.,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,0,0,.,0,96.9,96.7,-1,-1,.,.,-1,-1,0,0,.,0,97.2,96.8,0,0,.,0,97,96.6,0,0,.,0,97.2,97.2,.,.,.,.,.,-1,-1,-1,.,-1,97.9,97.1,0,0,.,0,96.8,96.7,0,0,.,0,97.1,96.5,0,0,.,0,97.1,95.7,0,0,.,0,96.5,96.3
"012901",0,0,0,0,94.2,94.8,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,0,0,1.1,0,95.9,96.1,-1,-1,0,0,92.8,94.9,0,0,2.2,0,95.2,95.4,0,0,0,0,96,96,0,0,6.3,0,95.9,96.1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2.2,0,95.9,96.2,0,0,0,0,94.9,95.4,0,0,0,0,95.2,95.7,0,0,0,0,96.2,96.3
"013801",.,.,.,.,-1,95.9,.,.,.,.,98.3,98.3,.,.,.,.,.,.,.,.,.,.,96.4,96.5,.,.,.,.,96.4,98.9,.,.,.,.,96.4,96.4,.,.,.,.,96.3,96.4,.,.,.,.,96.3,96.3,.,.,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,96.5,96.7,.,.,.,.,96.1,96.2,.,.,.,.,97,96.8,.,.,.,.,96.6,97.1
"013901",0,-1,0,0,95.2,96.1,-1,-1,0,0,98.5,98.2,.,.,-1,-1,-1,-1,0.5,0.4,1.4,1.2,94.4,93.6,0,0,3.8,0,94.7,94.4,0.4,0.4,2,1.6,94.2,93.4,0.7,0.3,1.2,1.3,94.1,93.5,0.6,0.4,1.2,1.3,94.3,93.6,-1,.,-1,.,-1,-1,0,0,0,0,96.2,95.8,0.3,0.4,1.6,1,94.6,93.7,0.6,0.3,1.5,1.4,93.7,93,1.3,1.6,1,1.9,93.3,92,0,0,1.9,0.7,94.4,93.4
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,97.3,97.4,.,-1,.,.,-1,-1,0,0,.,.,97.2,96.9,0,0,.,.,97.4,97.6,0,0,.,.,97.3,97.5,.,.,.,.,.,.,.,.,.,.,-1,-1,0,0,.,.,97.2,97.3,-1,0,.,.,97.2,97.2,-1,-1,.,.,97.1,97,-1,-1,.,.,97.2,97.1
"013903",-1,.,-1,-1,93.3,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,3.1,5.2,95.4,96,-1,-1,0,-1,98.8,-1,0,0,3.2,6.1,95.3,96.1,0,0,1.3,5.4,94.8,95.8,0,0,4.5,7.8,95.4,96.3,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,0,0,5,5.1,96,96.3,0,0,3.6,7.9,95.5,96.1,0,0,10,5.6,94.3,95.3,0,0,1.6,1.7,95.3,95.5
"013905",-1,.,-1,-1,-1,-1,0,-1,-1,-1,99,98.9,-1,.,.,-1,-1,-1,0,0,0.3,1,95.2,95.3,-1,-1,-1,-1,97.4,98.2,0,0,0,2.1,94.5,94.6,0,0,0.7,2.2,95.2,95,0,0,0.5,1.6,95.2,95.1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.5,95.1,0,0,0,0,95.3,95.6,0,0,1,0,94,94.2,0,0,0,0,93.6,94.1,0,0,0,0,95.2,95.4
"014801",.,.,19.6,16.2,81.9,86.1,.,.,21.4,0,80.2,86.3,.,.,0,35.7,-1,86.2,.,.,23.1,21.8,81.7,82.3,.,.,29.5,25,80.2,80.4,.,.,22.6,22.1,81.9,82.9,.,.,20.7,17.9,81.2,81.4,.,.,22.9,22.5,81.6,81.9,.,.,27.8,46.2,81.1,78.6,.,.,32.4,25.9,83.4,86.2,.,.,25.3,25.5,82.2,83.3,.,.,22.2,18.5,82.4,83.5,.,.,23.3,17.6,82.4,82.5,.,.,19.7,17.1,82.9,84.7
"014803",0,0,0,-1,95.4,96.4,0,0,-1,-1,97.2,96.3,.,.,-1,-1,96,-1,0,0,0,0,95.1,96,0,0,0,0,95.4,96.3,0,0,0,0,95,96.5,0,0,0,0,95,95.8,0,0,0,0,95.9,96.2,.,.,-1,-1,96.9,-1,0,0,-1,0,96.6,98,0,0,0,0,95.2,96.3,0,0,0,0,94.1,96,0,0,0,0,95.3,95.8,0,0,0,0,94.4,95.9
"014804",0,0,0,0,96.2,96.9,0,0,0,0,98.1,97.9,.,.,.,-1,-1,-1,0,0,1,0.6,96,96.2,0,0,0,0,96.8,96.6,0,0,8.8,2.6,94.3,94.5,0,0,0.8,0.4,96,95.9,0,0,2.7,1,96,96,.,.,.,-1,-1,-1,-1,0,-1,.,95,98.1,0,0,1.3,0.9,96,96.6,0,0,1.5,1.3,95.2,95.7,0,0,4.5,0,96,96,0,0,0.6,0.6,95.8,96.2
"014901",0,0,0,0,95.1,95.4,-1,-1,0,0,95.8,95,-1,-1,.,-1,-1,-1,0,0,0.9,0,96.3,96.2,0,0,10,0,97,97.3,0,0,1.6,0,95.7,95.5,0,0,0.5,0,96.2,96.1,0,0,1,0,96,95.7,-1,.,-1,-1,92.9,96.9,0,0,0,0,97.6,97.4,0,0,1.3,0,96.3,96.3,0,0,0.9,0,95.5,94.9,0,0,2.8,0,94.4,93.8,0,0,0.7,0,96.4,96.3
