DISTRICT,D20708DR15R,D20708DR16R,D20912DR15R,D20912DR16R,D20AT15R,D20AT16R,D30708DR15R,D30708DR16R,D30912DR15R,D30912DR16R,D30AT15R,D30AT16R,D40708DR15R,D40708DR16R,D40912DR15R,D40912DR16R,D40AT15R,D40AT16R,DA0708DR15R,DA0708DR16R,DA0912DR15R,DA0912DR16R,DA0AT15R,DA0AT16R,DAHEC15R,DAHEC16R,DAHEE15R,DAHEE16R,DB0708DR15R,DB0708DR16R,DB0912DR15R,DB0912DR16R,DB0AT15R,DB0AT16R,DE0708DR15R,DE0708DR16R,DE0912DR15R,DE0912DR16R,DE0AT15R,DE0AT16R,DF0708DR15R,DF0708DR16R,DF0912DR15R,DF0912DR16R,DF0AT15R,DF0AT16R,DH0708DR15R,DH0708DR16R,DH0912DR15R,DH0912DR16R,DH0AT15R,DH0AT16R,DI0708DR15R,DI0708DR16R,DI0912DR15R,DI0912DR16R,DI0AT15R,DI0AT16R,DL0708DR15R,DL0708DR16R,DL0912DR15R,DL0912DR16R,DL0AT15R,DL0AT16R,DM0708DR15R,DM0708DR16R,DM0912DR15R,DM0912DR16R,DM0AT15R,DM0AT16R,DR0708DR15R,DR0708DR16R,DR0912DR15R,DR0912DR16R,DR0AT15R,DR0AT16R,DS0708DR15R,DS0708DR16R,DS0912DR15R,DS0912DR16R,DS0AT15R,DS0AT16R,DW0708DR15R,DW0708DR16R,DW0912DR15R,DW0912DR16R,DW0AT15R,DW0AT16R
"001902",0,-1,0,0,97.5,97.1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,1.4,1,96,96.8,88.235294118,68.8,51.5,62.5,-1,-1,0,0,95,96.7,0,0,1.5,1.6,94.9,96.1,0,0,1.8,0,95.8,96.8,0,0,11.1,40,94.7,96,.,.,.,.,.,.,.,.,-1,-1,-1,-1,0,0,0.9,2,96.1,96.7,0,0,2.2,1.2,95.4,96.4,0,0,2.5,0,93.9,95.2,0,0,1.1,0,96,96.8
"001903",0,0,0,0,97,97.2,-1,-1,0,0,99.6,99.6,-1,-1,.,.,-1,-1,0,0.4,0,0.3,96.5,96.6,74.074074074,75,37.5,57.5,0,0,0,0,97.1,97.8,0,0,0,0.5,96.2,96,0,0.9,0,0,96.4,96.6,0,0,0,0,96.7,96.7,.,.,-1,-1,-1,-1,.,-1,.,.,98.1,95.8,0,0,0,0.5,96.7,96.6,0,0,0,0.9,96.1,95.7,0,0,0,0,96.2,96.2,0,0.6,0,0.3,96.4,96.5
"001904",-1,-1,-1,0,95.5,96.5,.,-1,-1,-1,-1,96,.,.,.,.,.,-1,0,0,0.4,0.4,95.9,96.2,70,41.2,56.1,41.9,0,0,0,0,97.1,96.6,0,0,0,0.7,95.5,95.9,0,0,0.9,0,95.8,96,0,0,0,0,96.4,96.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98.8,98.5,0,0,0,0.7,96.1,96.4,0,0,0,0.9,95.5,95.9,0,0,0,0,95,95.2,0,0,0.6,0.5,95.7,96.1
"001906",-1,.,-1,-1,-1,96,.,.,-1,-1,-1,-1,.,.,.,.,.,.,0,0,1.6,0,95.5,96.4,63.636363636,78.6,55,51.7,0,0,0,0,97.1,96.2,0,0,0,0,95.4,96.1,0,0,0,0,95.8,96.4,0,0,0,0,95.9,97.2,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,0,0,3,0,95.3,96.5,0,0,6.7,0,95.4,95.1,0,0,0,0,95.2,94.2,0,0,2,0,95.3,96.4
"001907",0,0,0,0,95.9,96.4,-1,0,0,0,96.7,97,.,.,.,.,-1,-1,0.4,0,0.7,0.2,95.8,95.7,75.675675676,59.7,44.3,44,0,0,1.2,0.4,95.8,95.6,0,0,0.2,0.3,95.7,95.6,0,0,0.4,0.2,95.8,95.8,0.5,0,0.3,0.3,96.1,96.2,-1,.,0,0,95.4,94.3,0,0,0,0,96.3,96.6,0.6,0,1,0.2,95.7,95.7,0,0,0.4,0.3,95.5,95.5,0,0,0.9,0,94.9,94.3,0.6,0,0.9,0,95.2,94.9
"001908",0,0,0,0,96.3,96,-1,-1,0,0,97.5,95.9,.,.,.,.,.,.,0,0,0.4,0,96,96,69.696969697,65.9,48.1,47.7,0,0,0,0,97.2,97,0,0,0.7,0,95.9,95.9,0,0,0,0,96,95.9,0,0,2.4,0,96.3,96.5,-1,-1,-1,-1,-1,93.8,0,0,0,0,97,97.5,0,0,0.8,0,96,96.1,0,0,0,0,95.8,95.9,0,0,0,0,95.5,95.6,0,0,0,0,95.5,95.4
"001909",-1,-1,.,.,97.4,98.2,.,.,.,.,.,.,.,.,.,.,.,.,1.5,0,0,0,96.9,97.5,66.666666667,76.9,72.4,40.6,.,-1,-1,-1,-1,96.8,3.2,0,0,0,96.4,97,0,0,0,0,96.7,97.3,-1,-1,0,0,97.8,97,-1,.,-1,-1,-1,-1,-1,.,.,-1,-1,-1,3.6,0,0,0,97.2,97.7,3.6,0,0,0,96.4,97,0,0,0,0,95.1,95.6,1.8,0,0,0,96.8,97.5
"002901",0,0,0,0,94.4,96.6,-1,-1,0,-1,97.6,98,.,.,.,.,-1,.,0,0,0.3,0.8,95.7,96.8,76.404494382,57.3,40.9,45.9,0,0,0,0,96.6,95.9,0,0,0.7,1.5,95,96.5,0,0,0,0.9,95.7,96.8,0,0,0.4,0.9,95.8,96.9,-1,-1,-1,-1,96.4,96.6,0,0,0,2.5,95.9,97.1,0,0,0.5,0.7,95.7,96.8,0,0,0.3,1.6,95.3,96.6,0,0,1.5,0,94.5,96.3,0,0,0,0.6,95.6,96.8
"003801",-1,-1,-1,0,94.7,95.7,0,0,-1,0,98.8,98.8,.,.,-1,.,-1,.,0,0,0,0,96,96.3,90,91.3,52.4,60,0,0,0,0,95.9,96.9,0,0,0,0,95.8,96.3,0,0,0,0,96.1,96.3,0,0,0,0,96,96.4,.,.,.,.,.,.,-1,0,.,-1,97.4,97.3,0,0,0,0,95.8,96.2,0,0,0,0,95.9,96.1,0,0,0,0,96.1,96.2,0,0,0,0,95.9,96
"003902",-1,0,6.3,6.7,97,95.5,-1,-1,0,0,97,98.7,-1,.,-1,.,-1,.,0,0.2,0.8,0.8,96.1,96.4,66.355140187,59.8,64.6,61.4,0,0,2.1,3.6,96.1,96.9,0,0.5,1,1.2,95.9,96,0,0,0.5,0.7,96.1,96.5,0,0,1,0,96.4,96.5,-1,-1,-1,-1,95.4,96.7,0,0,0,0,97,97.3,0,0.5,1.2,1,96.2,96.3,0,0,2.7,1.2,95.6,95.8,0,2.8,1.5,1.3,94.8,95.1,0,0.3,0.5,0.7,96,96.3
