DISTRICT,D200A001512R,D200A001513R,D200AC01512R,D200AC01513R,D200AM01512R,D200AM01513R,D200AR01512R,D200AR01513R,D200AS01512R,D200AS01513R,D200AW01512R,D200AW01513R,D300A001512R,D300A001513R,D300AC01512R,D300AC01513R,D300AM01512R,D300AM01513R,D300AR01512R,D300AR01513R,D300AS01512R,D300AS01513R,D300AW01512R,D300AW01513R,D400A001512R,D400A001513R,D400AC01512R,D400AC01513R,D400AM01512R,D400AM01513R,D400AR01512R,D400AR01513R,D400AS01512R,D400AS01513R,D400AW01512R,D400AW01513R,DA00A001512R,DA00A001513R,DA00AC01512R,DA00AC01513R,DA00AM01512R,DA00AM01513R,DA00AR01512R,DA00AR01513R,DA00AS01512R,DA00AS01513R,DA00AW01512R,DA00AW01513R,DB00A001512R,DB00A001513R,DB00AC01512R,DB00AC01513R,DB00AM01512R,DB00AM01513R,DB00AR01512R,DB00AR01513R,DB00AS01512R,DB00AS01513R,DB00AW01512R,DB00AW01513R,DE00A001512R,DE00A001513R,DE00AC01512R,DE00AC01513R,DE00AM01512R,DE00AM01513R,DE00AR01512R,DE00AR01513R,DE00AS01512R,DE00AS01513R,DE00AW01512R,DE00AW01513R,DF00A001512R,DF00A001513R,DF00AC01512R,DF00AC01513R,DF00AM01512R,DF00AM01513R,DF00AR01512R,DF00AR01513R,DF00AS01512R,DF00AS01513R,DF00AW01512R,DF00AW01513R,DH00A001512R,DH00A001513R,DH00AC01512R,DH00AC01513R,DH00AM01512R,DH00AM01513R,DH00AR01512R,DH00AR01513R,DH00AS01512R,DH00AS01513R,DH00AW01512R,DH00AW01513R,DI00A001512R,DI00A001513R,DI00AC01512R,DI00AC01513R,DI00AM01512R,DI00AM01513R,DI00AR01512R,DI00AR01513R,DI00AS01512R,DI00AS01513R,DI00AW01512R,DI00AW01513R,DL00A001512R,DL00A001513R,DL00AC01512R,DL00AC01513R,DL00AM01512R,DL00AM01513R,DL00AR01512R,DL00AR01513R,DL00AS01512R,DL00AS01513R,DL00AW01512R,DL00AW01513R,DM00A001512R,DM00A001513R,DM00AC01512R,DM00AC01513R,DM00AM01512R,DM00AM01513R,DM00AR01512R,DM00AR01513R,DM00AS01512R,DM00AS01513R,DM00AW01512R,DM00AW01513R,DR00A001512R,DR00A001513R,DR00AC01512R,DR00AC01513R,DR00AM01512R,DR00AM01513R,DR00AR01512R,DR00AR01513R,DR00AS01512R,DR00AS01513R,DR00AW01512R,DR00AW01513R,DS00A001512R,DS00A001513R,DS00AC01512R,DS00AC01513R,DS00AM01512R,DS00AM01513R,DS00AR01512R,DS00AR01513R,DS00AS01512R,DS00AS01513R,DS00AW01512R,DS00AW01513R,DW00A001512R,DW00A001513R,DW00AC01512R,DW00AC01513R,DW00AM01512R,DW00AM01513R,DW00AR01512R,DW00AR01513R,DW00AS01512R,DW00AS01513R,DW00AW01512R,DW00AW01513R
"001902",86,94,78,89,92,100,86,95,83,86,-1,89,83,83,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,84,87,84,90,86,93,86,89,78,76,86,82,82,81,81,83,82,80,91,85,86,64,60,92,79,85,75,86,84,91,81,86,67,75,81,79,87,91,85,93,87,93,90,94,78,79,91,89,89,88,100,90,86,90,79,86,100,100,100,78,.,.,.,.,.,.,.,.,.,.,.,.,-1,100,.,.,-1,-1,-1,-1,.,.,.,-1,82,84,83,87,84,92,82,85,78,72,81,73,65,74,61,78,69,85,63,77,66,56,62,63,53,63,43,72,58,73,53,65,57,42,48,52,84,87,83,90,86,93,86,90,77,75,87,81
"001903",80,82,78,100,95,84,84,76,-1,89,-1,67,100,95,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,100,.,-1,-1,-1,-1,-1,.,.,-1,-1,79,82,76,82,80,83,82,87,71,71,78,78,61,69,42,78,53,56,67,78,88,57,67,79,74,75,72,73,77,75,77,82,62,64,73,69,78,81,71,77,79,82,81,89,69,67,82,78,74,64,67,56,79,67,75,75,56,50,77,62,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,80,83,80,88,81,83,83,86,73,75,74,78,60,66,61,68,61,67,62,72,58,59,54,50,62,63,51,65,68,68,65,75,43,38,67,48,80,84,78,85,81,86,83,89,72,73,79,80
"001904",72,76,-1,63,82,79,82,79,-1,100,-1,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,79,81,80,81,80,84,83,86,75,78,71,64,76,74,90,81,76,80,79,76,68,67,58,62,73,75,74,75,74,79,77,81,64,71,64,59,81,85,76,82,81,87,88,92,70,77,76,77,78,78,72,75,75,81,85,84,64,75,86,64,-1,100,.,-1,-1,-1,-1,-1,.,-1,.,-1,56,67,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,79,77,84,81,79,82,80,81,78,78,67,55,61,63,65,63,59,64,66,72,57,64,59,43,71,76,80,76,73,76,73,80,59,76,67,63,80,82,81,83,81,86,84,87,80,79,70,65
"001906",79,88,-1,-1,100,100,-1,-1,-1,-1,-1,-1,100,100,.,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,85,87,89,95,88,90,87,89,78,80,74,72,75,79,70,89,76,81,76,76,71,71,83,71,83,80,88,90,87,87,82,83,83,64,67,62,90,87,91,93,91,92,93,89,76,78,85,74,76,79,83,90,75,79,75,82,-1,64,83,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,86,88,97,84,87,82,88,79,83,62,69,69,73,78,86,67,76,69,77,71,63,58,59,71,73,50,92,74,76,77,70,63,78,70,57,87,88,92,96,90,91,90,91,79,83,73,72
"001907",79,75,86,71,81,82,85,74,71,63,-1,63,83,88,89,100,88,89,81,94,100,-1,-1,75,100,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,71,69,78,77,70,75,72,71,74,68,55,47,60,59,68,67,58,65,62,61,66,53,42,37,67,66,75,74,67,73,68,67,70,63,50,43,71,72,75,78,69,77,76,76,72,63,62,56,71,69,77,76,74,77,72,69,72,69,55,46,-1,68,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,43,33,46,57,51,31,44,-1,37,-1,27,70,67,81,76,72,73,69,66,76,72,49,38,59,57,70,67,57,63,60,58,69,60,41,32,63,55,63,59,54,57,66,61,76,56,63,35,80,79,90,87,78,81,82,83,83,79,68,55
"001908",74,65,80,73,70,61,70,61,88,88,77,58,95,74,100,100,92,71,91,86,100,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,78,73,80,80,76,75,80,76,85,70,71,55,71,67,71,71,66,71,76,72,80,65,64,49,73,68,73,72,72,71,75,72,81,63,66,53,78,73,80,76,76,76,81,79,82,63,74,62,71,69,72,76,71,73,72,71,83,63,59,55,86,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,37,42,-1,-1,40,51,37,40,-1,-1,-1,-1,78,72,81,84,77,75,79,74,88,77,67,49,57,59,58,67,55,61,60,62,68,61,44,34,62,61,63,66,58,61,67,68,70,59,48,40,83,76,85,84,82,79,84,80,87,72,76,57
"001909",71,85,-1,-1,63,75,75,92,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,82,93,85,75,81,84,88,81,87,85,64,93,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,79,80,92,80,69,80,83,86,77,87,79,62,83,84,93,82,73,83,86,92,80,84,91,74,77,85,83,83,77,75,77,94,-1,100,86,71,-1,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,81,80,93,88,76,79,82,84,82,91,79,56,68,70,85,77,58,71,71,81,56,77,74,38,69,67,94,57,63,62,72,74,53,86,67,56,83,82,94,85,75,81,84,88,83,86,84,64
"002901",71,75,76,74,70,85,76,85,63,76,62,44,80,77,-1,-1,100,100,-1,75,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,72,69,73,76,76,72,74,72,68,67,60,49,63,53,68,55,63,41,65,58,56,70,58,47,65,59,65,67,71,62,66,63,55,55,53,39,75,71,74,77,79,74,78,76,67,61,64,56,67,64,68,71,74,69,68,67,61,58,54,42,-1,67,.,-1,-1,-1,-1,-1,.,-1,-1,-1,37,36,28,23,51,52,31,33,-1,39,36,24,70,67,73,75,74,70,70,68,69,71,56,43,51,51,53,60,58,57,51,52,49,49,29,29,52,42,53,48,55,38,52,48,56,46,42,28,82,79,85,88,83,78,84,82,82,82,70,63
"003801",90,75,.,-1,-1,-1,-1,-1,.,-1,-1,-1,85,86,100,83,90,100,80,79,-1,-1,-1,-1,-1,83,.,.,-1,-1,-1,-1,.,.,.,-1,67,77,76,83,66,76,68,81,67,79,54,59,45,64,46,73,40,53,46,70,53,78,48,53,58,68,65,79,59,67,60,72,51,65,46,54,65,79,68,87,64,75,70,84,51,73,60,72,57,61,64,68,60,64,60,63,38,58,50,44,.,.,.,.,.,.,.,.,.,.,.,.,.,67,.,-1,.,-1,.,-1,.,.,.,-1,68,74,84,79,68,77,66,78,82,86,48,46,37,45,44,-1,38,48,37,53,40,63,22,-1,43,52,44,69,45,52,42,50,-1,73,-1,-1,73,83,86,90,73,84,75,89,75,84,55,61
"003902",84,85,82,94,83,83,83,87,100,82,80,75,98,98,88,100,100,100,100,95,100,100,100,100,100,-1,-1,.,-1,-1,-1,-1,-1,.,-1,.,86,86,89,89,87,89,86,88,88,89,75,68,65,67,77,74,64,69,61,69,79,79,54,44,78,80,82,84,81,85,78,82,81,84,65,58,86,86,86,87,87,89,88,89,84,86,84,75,78,80,82,83,82,87,76,82,83,87,65,54,83,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,57,40,56,64,63,46,52,-1,-1,32,47,85,85,93,92,87,89,84,87,91,92,66,63,67,69,77,77,69,74,67,71,74,72,48,43,64,70,68,82,67,80,64,69,59,74,57,39,89,89,92,92,90,91,90,91,89,90,80,74
