DISTRICT,D200A001513R,D200A001S14R,D200AC01513R,D200AC01S14R,D200AM01513R,D200AM01S14R,D200AR01513R,D200AR01S14R,D200AS01513R,D200AS01S14R,D200AW01513R,D200AW01S14R,D300A001513R,D300A001S14R,D300AC01513R,D300AC01S14R,D300AM01513R,D300AM01S14R,D300AR01513R,D300AR01S14R,D300AS01513R,D300AS01S14R,D300AW01513R,D300AW01S14R,D400A001513R,D400A001S14R,D400AC01513R,D400AC01S14R,D400AM01513R,D400AM01S14R,D400AR01513R,D400AR01S14R,D400AS01513R,D400AS01S14R,D400AW01513R,D400AW01S14R,DA00A001513R,DA00A001S14R,DA00AC01513R,DA00AC01S14R,DA00AM01513R,DA00AM01S14R,DA00AR01513R,DA00AR01S14R,DA00AS01513R,DA00AS01S14R,DA00AW01513R,DA00AW01S14R,DB00A001513R,DB00A001S14R,DB00AC01513R,DB00AC01S14R,DB00AM01513R,DB00AM01S14R,DB00AR01513R,DB00AR01S14R,DB00AS01513R,DB00AS01S14R,DB00AW01513R,DB00AW01S14R,DE00A001513R,DE00A001S14R,DE00AC01513R,DE00AC01S14R,DE00AM01513R,DE00AM01S14R,DE00AR01513R,DE00AR01S14R,DE00AS01513R,DE00AS01S14R,DE00AW01513R,DE00AW01S14R,DF00A001513R,DF00A001S14R,DF00AC01513R,DF00AC01S14R,DF00AM01513R,DF00AM01S14R,DF00AR01513R,DF00AR01S14R,DF00AS01513R,DF00AS01S14R,DF00AW01513R,DF00AW01S14R,DH00A001513R,DH00A001S14R,DH00AC01513R,DH00AC01S14R,DH00AM01513R,DH00AM01S14R,DH00AR01513R,DH00AR01S14R,DH00AS01513R,DH00AS01S14R,DH00AW01513R,DH00AW01S14R,DI00A001513R,DI00A001S14R,DI00AC01513R,DI00AC01S14R,DI00AM01513R,DI00AM01S14R,DI00AR01513R,DI00AR01S14R,DI00AS01513R,DI00AS01S14R,DI00AW01513R,DI00AW01S14R,DL00A001513R,DL00A001S14R,DL00AC01513R,DL00AC01S14R,DL00AM01513R,DL00AM01S14R,DL00AR01513R,DL00AR01S14R,DL00AS01513R,DL00AS01S14R,DL00AW01513R,DL00AW01S14R,DM00A001513R,DM00A001S14R,DM00AC01513R,DM00AC01S14R,DM00AM01513R,DM00AM01S14R,DM00AR01513R,DM00AR01S14R,DM00AS01513R,DM00AS01S14R,DM00AW01513R,DM00AW01S14R,DR00A001513R,DR00A001S14R,DR00AC01513R,DR00AC01S14R,DR00AM01513R,DR00AM01S14R,DR00AR01513R,DR00AR01S14R,DR00AS01513R,DR00AS01S14R,DR00AW01513R,DR00AW01S14R,DS00A001513R,DS00A001S14R,DS00AC01513R,DS00AC01S14R,DS00AM01513R,DS00AM01S14R,DS00AR01513R,DS00AR01S14R,DS00AS01513R,DS00AS01S14R,DS00AW01513R,DS00AW01S14R,DW00A001513R,DW00A001S14R,DW00AC01513R,DW00AC01S14R,DW00AM01513R,DW00AM01S14R,DW00AR01513R,DW00AR01S14R,DW00AS01513R,DW00AS01S14R,DW00AW01513R,DW00AW01S14R
"001902",94,88,89,-1,100,89,95,95,86,-1,89,88,83,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,87,88,90,87,93,91,89,88,76,80,82,89,81,82,83,-1,80,100,85,87,64,63,92,-1,85,84,86,82,91,89,86,83,75,76,79,88,91,89,93,87,93,92,94,89,79,81,89,95,88,78,90,71,90,88,86,68,100,-1,78,100,.,.,.,.,.,.,.,.,.,.,.,.,100,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,84,86,87,87,92,90,85,86,72,80,73,84,74,77,78,79,85,82,77,73,56,69,63,79,63,75,72,69,73,76,65,75,42,80,52,73,87,89,90,89,93,91,90,88,75,82,81,89
"001903",82,81,100,100,84,80,76,73,89,-1,67,-1,95,93,-1,-1,100,100,100,90,-1,-1,-1,-1,100,100,-1,-1,-1,-1,-1,-1,.,.,-1,.,82,85,82,88,83,83,87,87,71,83,78,85,69,64,78,47,56,61,78,68,57,67,79,86,75,80,73,81,75,77,82,82,64,75,69,82,81,86,77,86,82,83,89,89,67,80,78,90,64,81,56,82,67,77,75,83,50,75,62,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,83,85,88,90,83,83,86,84,75,85,78,80,66,75,68,80,67,72,72,76,59,71,50,74,63,68,65,74,68,67,75,68,38,73,48,57,84,87,85,91,86,85,89,89,73,84,80,84
"001904",76,78,63,100,79,50,79,89,100,-1,-1,-1,100,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,81,81,81,85,84,79,86,83,78,64,64,81,74,74,81,84,80,68,76,75,67,70,62,75,75,74,75,80,79,74,81,77,71,49,59,73,85,81,82,86,87,76,92,85,77,64,77,82,78,78,75,75,81,88,84,81,75,50,64,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,67,43,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,77,81,81,85,82,82,81,82,78,63,55,79,63,64,63,73,64,63,72,68,64,32,43,52,76,75,76,71,76,74,80,78,76,-1,63,67,82,82,83,86,86,81,87,84,79,63,65,83
"001906",88,85,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,87,89,95,97,90,89,89,88,80,79,72,87,79,83,89,100,81,71,76,94,71,-1,71,-1,80,84,90,94,87,84,83,83,64,71,62,82,87,91,93,97,92,90,89,91,78,78,74,97,79,80,90,89,79,86,82,73,64,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,53,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,86,87,97,97,87,89,88,85,83,79,69,79,73,77,86,93,76,79,77,76,63,47,59,75,73,89,92,100,76,93,70,91,78,-1,57,86,88,90,96,98,91,91,91,90,83,83,72,89
"001907",75,73,71,-1,82,71,74,82,63,.,63,62,88,100,100,-1,89,100,94,100,-1,-1,75,-1,-1,.,.,.,-1,.,-1,.,.,.,.,.,69,68,77,67,75,76,71,66,68,71,47,55,59,58,67,58,65,66,61,54,53,70,37,39,66,64,74,61,73,73,67,61,63,66,43,49,72,71,78,66,77,78,76,68,63,72,56,62,69,69,76,63,77,80,69,64,69,64,46,60,68,52,-1,-1,-1,88,-1,-1,-1,-1,-1,-1,43,46,46,32,51,61,44,41,37,-1,27,29,67,66,76,67,73,74,66,64,72,70,38,48,57,57,67,55,63,67,58,54,60,60,32,36,55,56,59,52,57,68,61,53,56,58,35,34,79,79,87,79,81,80,83,79,79,82,55,67
"001908",65,50,73,-1,61,43,61,61,88,-1,58,-1,74,82,100,-1,71,100,86,83,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,73,69,80,73,75,67,76,70,70,69,55,63,67,64,71,61,71,63,72,64,65,69,49,65,68,64,72,66,71,62,72,64,63,68,53,59,73,71,76,74,76,66,79,73,63,66,62,73,69,66,76,65,73,65,71,69,63,64,55,64,100,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,42,33,-1,-1,51,36,40,41,-1,-1,-1,-1,72,67,84,73,75,67,74,67,77,72,49,53,59,51,67,56,61,51,62,51,61,58,34,39,61,55,66,50,61,59,68,61,59,50,40,35,76,72,84,83,79,70,80,72,72,72,57,64
"001909",85,89,-1,-1,75,80,92,100,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,86,85,87,81,83,88,89,87,91,64,83,-1,100,-1,.,-1,-1,-1,-1,-1,.,-1,.,80,85,80,83,80,80,86,91,87,88,62,82,84,86,82,92,83,81,92,89,84,85,74,80,85,82,83,-1,75,86,94,87,100,-1,71,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,80,87,88,82,79,85,84,88,91,96,56,86,70,79,77,80,71,76,81,81,77,92,38,54,67,74,57,76,62,70,74,75,86,89,56,-1,82,86,85,89,81,83,88,88,86,92,64,84
"002901",75,70,74,62,85,68,85,69,76,80,44,-1,77,83,-1,100,100,86,75,78,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,69,67,76,67,72,67,72,67,67,81,49,55,53,60,55,60,41,68,58,59,70,50,47,50,59,58,67,54,62,59,63,59,55,71,39,45,71,69,77,66,74,66,76,71,61,78,56,64,64,62,71,61,69,62,67,62,58,77,42,51,67,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,40,23,30,52,47,33,40,39,48,24,27,67,66,75,68,70,67,68,64,71,85,43,45,51,51,60,49,57,51,52,51,49,69,29,31,42,50,48,48,38,51,48,51,46,61,28,30,79,79,88,79,78,78,82,80,82,91,63,62
"003801",75,70,-1,-1,-1,71,-1,71,-1,.,-1,-1,86,93,83,-1,100,100,79,83,-1,-1,-1,-1,83,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,77,76,83,82,76,71,81,77,79,82,59,72,64,58,73,67,53,52,70,61,78,70,53,57,68,69,79,76,67,65,72,69,65,78,54,64,79,78,87,84,75,74,84,80,73,79,72,71,61,61,68,76,64,57,63,60,58,75,44,58,.,-1,.,.,.,-1,.,-1,.,.,.,-1,67,33,-1,-1,-1,-1,-1,-1,.,.,-1,-1,74,73,79,79,77,69,78,74,86,86,46,72,45,59,-1,69,48,55,53,57,63,81,-1,44,52,61,69,89,52,52,50,69,73,-1,-1,-1,83,83,90,87,84,79,89,85,84,84,61,78
"003902",85,82,94,91,83,95,87,80,82,-1,75,-1,98,94,100,100,100,90,95,100,100,-1,100,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,86,87,89,89,89,90,88,86,89,78,68,79,67,73,74,61,69,82,69,71,79,64,44,70,80,81,84,81,85,86,82,80,84,72,58,75,86,88,87,89,89,90,89,88,86,75,75,84,80,81,83,80,87,88,82,80,87,68,54,72,100,100,-1,-1,-1,100,-1,100,-1,-1,-1,-1,57,64,56,50,63,74,52,63,-1,-1,47,47,85,85,92,88,89,90,87,84,92,81,63,74,69,71,77,70,74,81,71,69,72,54,43,55,70,77,82,84,80,89,69,68,74,75,39,71,89,89,92,92,91,91,91,89,90,83,74,83
