DISTRICT,D200A001S15R,D200AC01S15R,D200AM01S15R,D200AR01S15R,D200AS01S15R,D200AW01S15R,D300A001S15R,D300AC01S15R,D300AM01S15R,D300AR01S15R,D300AS01S15R,D300AW01S15R,D400A001S15R,D400AC01S15R,D400AM01S15R,D400AR01S15R,D400AS01S15R,D400AW01S15R,DA00A001S15R,DA00AC01S15R,DA00AM01S15R,DA00AR01S15R,DA00AS01S15R,DA00AW01S15R,DB00A001S15R,DB00AC01S15R,DB00AM01S15R,DB00AR01S15R,DB00AS01S15R,DB00AW01S15R,DE00A001S15R,DE00AC01S15R,DE00AM01S15R,DE00AR01S15R,DE00AS01S15R,DE00AW01S15R,DF00A001S15R,DF00AC01S15R,DF00AM01S15R,DF00AR01S15R,DF00AS01S15R,DF00AW01S15R,DH00A001S15R,DH00AC01S15R,DH00AM01S15R,DH00AR01S15R,DH00AS01S15R,DH00AW01S15R,DI00A001S15R,DI00AC01S15R,DI00AM01S15R,DI00AR01S15R,DI00AS01S15R,DI00AW01S15R,DL00A001S15R,DL00AC01S15R,DL00AM01S15R,DL00AR01S15R,DL00AS01S15R,DL00AW01S15R,DM00A001S15R,DM00AC01S15R,DM00AM01S15R,DM00AR01S15R,DM00AS01S15R,DM00AW01S15R,DR00A001S15R,DR00AC01S15R,DR00AM01S15R,DR00AR01S15R,DR00AS01S15R,DR00AW01S15R,DS00A001S15R,DS00AC01S15R,DS00AM01S15R,DS00AR01S15R,DS00AS01S15R,DS00AW01S15R,DW00A001S15R,DW00AC01S15R,DW00AM01S15R,DW00AR01S15R,DW00AS01S15R,DW00AW01S15R
"001902",82,70,-1,95,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,87,82,93,90,81,88,94,-1,-1,91,-1,-1,78,68,80,84,71,67,87,78,100,89,83,92,68,-1,-1,75,-1,-1,.,.,.,.,.,.,-1,.,.,-1,-1,.,87,85,83,92,79,83,74,64,86,78,64,61,55,-1,-1,58,73,-1,89,84,97,91,80,91
"001903",91,-1,-1,96,-1,78,90,-1,.,92,-1,-1,-1,.,.,-1,.,-1,85,87,89,87,78,81,61,50,-1,60,-1,67,79,78,88,81,69,74,85,85,93,88,71,82,76,75,100,75,75,75,.,.,.,.,.,.,58,-1,.,-1,.,-1,85,88,85,85,84,80,66,64,47,72,57,59,63,86,-1,66,-1,-1,87,90,88,89,79,83
"001904",67,-1,.,86,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,81,82,96,83,73,77,65,70,-1,63,-1,86,73,77,93,72,65,70,84,81,100,89,67,81,76,69,100,76,67,80,-1,.,-1,-1,-1,.,-1,-1,.,-1,-1,-1,79,83,94,77,77,74,64,60,89,63,63,58,86,-1,-1,78,.,-1,84,85,95,86,76,77
"001906",-1,-1,.,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,80,81,78,79,82,81,58,-1,-1,61,-1,-1,70,71,71,69,67,74,83,82,83,81,83,92,77,88,-1,70,-1,83,.,.,.,.,.,.,-1,-1,.,-1,-1,.,78,80,73,78,81,74,57,65,71,55,69,41,40,50,-1,48,-1,-1,82,79,74,82,85,87
"001907",79,70,-1,87,80,64,85,-1,-1,82,-1,-1,.,.,.,.,.,.,69,69,80,69,67,66,61,60,78,60,57,57,65,66,78,65,58,62,72,66,84,74,63,74,67,64,82,67,65,67,58,-1,-1,53,-1,-1,45,36,55,48,-1,44,67,72,77,65,70,58,57,56,71,58,52,52,43,45,-1,49,-1,-1,81,85,83,82,76,71
"001908",66,67,-1,69,-1,58,93,-1,.,100,100,-1,.,.,.,.,.,.,72,71,90,75,64,64,69,78,91,67,56,62,67,67,91,71,52,59,76,75,96,80,63,67,67,63,96,72,52,54,-1,.,.,-1,.,-1,33,-1,-1,38,-1,32,69,68,84,70,65,62,58,53,81,63,48,48,38,50,-1,36,-1,-1,77,74,86,79,71,73
"001909",100,.,.,100,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,91,95,96,90,96,82,-1,.,.,-1,-1,-1,87,89,91,87,94,81,93,95,100,93,94,88,80,-1,-1,73,-1,-1,100,-1,-1,-1,-1,.,.,.,.,.,.,.,89,96,93,87,100,78,84,95,88,83,94,71,95,-1,-1,94,-1,-1,91,95,100,91,96,80
"002901",73,67,-1,79,-1,83,100,-1,-1,100,-1,.,.,.,.,.,.,.,69,71,74,71,67,57,65,53,-1,65,75,-1,59,61,69,61,55,45,72,71,73,75,65,63,64,67,72,65,62,50,100,.,.,-1,.,-1,36,31,35,41,29,25,67,71,75,67,70,51,51,51,58,55,46,33,24,24,-1,28,-1,-1,82,82,80,85,80,72
"003801",64,-1,.,88,-1,-1,95,100,-1,93,100,83,-1,-1,.,-1,-1,.,78,83,89,80,78,59,63,60,75,66,63,47,72,77,88,75,76,51,81,82,97,83,78,72,65,67,88,67,65,48,.,.,.,.,.,.,48,-1,.,61,-1,-1,74,85,77,76,79,49,63,65,71,64,62,42,44,-1,-1,57,-1,-1,85,92,91,86,86,64
"003902",89,89,-1,87,100,-1,88,100,-1,86,-1,-1,-1,-1,.,-1,-1,.,86,90,95,86,84,79,75,68,80,76,74,80,80,81,94,80,77,71,87,87,97,89,80,82,82,84,96,84,73,76,83,.,-1,-1,.,-1,60,62,-1,63,-1,54,86,93,92,84,88,77,70,74,86,71,70,58,63,79,100,56,88,-1,89,93,95,88,88,81
