DISTRICT,D200A004216R,D200A004217R,D200AC04216R,D200AC04217R,D200AM04216R,D200AM04217R,D200AR04216R,D200AR04217R,D200AS04216R,D200AS04217R,D200AW04216R,D200AW04217R,D300A004216R,D300A004217R,D300AC04216R,D300AC04217R,D300AM04216R,D300AM04217R,D300AR04216R,D300AR04217R,D300AS04216R,D300AS04217R,D300AW04216R,D300AW04217R,D400A004216R,D400A004217R,D400AC04216R,D400AC04217R,D400AM04216R,D400AM04217R,D400AR04216R,D400AR04217R,D400AS04216R,D400AS04217R,D400AW04216R,D400AW04217R,DA00A004216R,DA00A004217R,DA00AC04216R,DA00AC04217R,DA00AM04216R,DA00AM04217R,DA00AR04216R,DA00AR04217R,DA00AS04216R,DA00AS04217R,DA00AW04216R,DA00AW04217R,DB00A004216R,DB00A004217R,DB00AC04216R,DB00AC04217R,DB00AM04216R,DB00AM04217R,DB00AR04216R,DB00AR04217R,DB00AS04216R,DB00AS04217R,DB00AW04216R,DB00AW04217R,DE00A004216R,DE00A004217R,DE00AC04216R,DE00AC04217R,DE00AM04216R,DE00AM04217R,DE00AR04216R,DE00AR04217R,DE00AS04216R,DE00AS04217R,DE00AW04216R,DE00AW04217R,DF00A004216R,DF00A004217R,DF00AC04216R,DF00AC04217R,DF00AM04216R,DF00AM04217R,DF00AR04216R,DF00AR04217R,DF00AS04216R,DF00AS04217R,DF00AW04216R,DF00AW04217R,DH00A004216R,DH00A004217R,DH00AC04216R,DH00AC04217R,DH00AM04216R,DH00AM04217R,DH00AR04216R,DH00AR04217R,DH00AS04216R,DH00AS04217R,DH00AW04216R,DH00AW04217R,DI00A004216R,DI00A004217R,DI00AC04216R,DI00AC04217R,DI00AM04216R,DI00AM04217R,DI00AR04216R,DI00AR04217R,DI00AS04216R,DI00AS04217R,DI00AW04216R,DI00AW04217R,DL00A004216R,DL00A004217R,DL00AC04216R,DL00AC04217R,DL00AM04216R,DL00AM04217R,DL00AR04216R,DL00AR04217R,DL00AS04216R,DL00AS04217R,DL00AW04216R,DL00AW04217R,DM00A004216R,DM00A004217R,DM00AC04216R,DM00AC04217R,DM00AM04216R,DM00AM04217R,DM00AR04216R,DM00AR04217R,DM00AS04216R,DM00AS04217R,DM00AW04216R,DM00AW04217R,DR00A004216R,DR00A004217R,DR00AC04216R,DR00AC04217R,DR00AM04216R,DR00AM04217R,DR00AR04216R,DR00AR04217R,DR00AS04216R,DR00AS04217R,DR00AW04216R,DR00AW04217R,DS00A004216R,DS00A004217R,DS00AC04216R,DS00AC04217R,DS00AM04216R,DS00AM04217R,DS00AR04216R,DS00AR04217R,DS00AS04216R,DS00AS04217R,DS00AW04216R,DS00AW04217R,DW00A004216R,DW00A004217R,DW00AC04216R,DW00AC04217R,DW00AM04216R,DW00AM04217R,DW00AR04216R,DW00AR04217R,DW00AS04216R,DW00AS04217R,DW00AW04216R,DW00AW04217R
"001902",38,48,45,-1,39,36,35,58,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,51,45,50,47,54,54,55,33,37,57,47,-1,50,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,34,39,41,34,32,38,39,42,35,29,37,36,51,54,41,38,44,57,58,59,26,34,61,61,36,42,-1,-1,33,42,40,36,-1,-1,-1,56,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,49,48,49,64,51,51,50,52,38,41,53,36,22,20,20,24,18,25,24,22,24,21,27,-1,-1,23,-1,33,-1,31,-1,23,-1,-1,-1,-1,53,52,49,54,51,55,57,57,38,37,60,43
"001903",42,33,-1,64,38,60,39,38,-1,-1,-1,-1,73,86,-1,-1,-1,-1,86,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,49,48,50,51,39,49,52,51,53,42,51,43,14,14,-1,-1,-1,14,13,16,-1,-1,-1,-1,38,41,35,46,29,41,41,43,48,41,45,31,52,51,46,48,42,55,60,55,42,36,61,53,47,50,53,25,46,59,52,53,39,-1,39,50,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,46,45,53,54,35,45,45,47,65,48,42,36,18,20,21,23,12,23,23,21,23,22,21,11,15,16,-1,20,13,23,19,24,-1,-1,-1,-1,52,50,51,56,40,50,55,53,57,46,53,46
"001904",-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,43,51,54,52,43,53,50,56,46,60,41,44,13,25,-1,-1,15,30,19,36,-1,-1,-1,-1,30,38,40,46,30,40,40,44,36,48,28,29,49,57,54,51,47,55,57,65,45,64,56,47,44,46,57,55,45,56,48,51,42,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,46,54,52,40,52,44,48,46,56,26,42,19,24,29,28,26,28,28,31,23,39,19,13,-1,31,-1,-1,-1,31,-1,30,-1,-1,-1,-1,47,55,59,58,47,57,55,60,50,67,43,45
"001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,-1,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,55,53,62,52,59,48,53,36,32,45,52,26,33,-1,-1,43,-1,-1,47,-1,-1,-1,-1,35,42,37,47,37,53,37,45,27,-1,26,43,52,60,50,65,52,57,54,59,38,21,44,62,31,37,56,38,35,38,33,35,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,-1,.,-1,-1,43,50,56,59,52,63,41,47,34,43,46,39,17,25,18,32,20,40,11,23,31,-1,-1,-1,-1,21,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,52,60,55,71,54,65,52,56,41,33,50,58
"001907",30,38,-1,45,38,38,40,38,-1,63,45,33,69,61,-1,80,64,69,73,67,-1,-1,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,30,35,31,38,34,41,32,35,33,41,26,26,17,25,20,22,18,28,22,26,21,32,18,19,24,29,26,32,29,37,27,29,26,37,22,21,32,38,29,40,36,42,36,39,30,42,32,33,29,33,32,37,39,44,30,32,29,35,18,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,11,-1,9,17,24,8,14,-1,-1,10,10,29,33,32,37,32,40,29,32,37,40,20,19,16,17,15,22,21,24,17,17,23,24,9,9,5,18,-1,23,9,22,5,18,-1,19,-1,22,43,48,38,56,41,48,45,48,50,57,40,34
"001908",27,31,-1,-1,21,27,31,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,32,34,33,30,28,34,35,36,34,37,29,19,22,23,26,22,21,26,23,25,13,23,21,-1,26,26,28,21,23,28,30,33,27,26,22,17,34,36,32,30,30,35,41,40,24,37,34,27,26,28,26,21,26,31,33,31,28,27,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,33,35,30,27,34,30,33,45,37,26,12,16,17,22,17,16,20,17,18,20,22,13,8,-1,14,-1,20,8,15,6,14,-1,22,-1,-1,39,41,41,39,33,40,42,43,45,46,39,22
"001909",-1,50,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,41,39,39,34,30,52,52,47,43,42,32,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,29,36,23,32,25,26,37,45,-1,43,41,34,42,41,40,38,30,26,58,55,46,29,47,38,50,42,-1,-1,-1,-1,70,45,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,.,.,.,.,-1,.,.,-1,.,.,38,41,38,39,38,34,46,49,48,53,37,28,13,23,19,23,14,10,22,29,30,37,26,22,-1,17,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,40,40,38,39,35,30,53,51,49,44,40,31
"002901",42,48,-1,72,37,50,61,50,-1,80,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,.,34,38,43,47,33,38,40,42,41,48,35,23,36,25,-1,45,25,31,39,26,-1,-1,-1,-1,21,25,27,35,21,27,28,30,30,32,21,17,36,40,40,46,35,38,44,45,37,47,44,28,28,32,35,41,28,33,33,36,37,42,29,20,-1,42,-1,-1,-1,50,-1,50,-1,-1,-1,-1,8,9,-1,8,13,10,17,11,-1,14,12,-1,32,36,45,47,31,37,35,38,45,50,27,19,11,14,18,23,12,13,16,17,15,23,10,8,-1,10,-1,20,5,13,3,7,-1,15,-1,-1,46,49,60,56,43,48,52,53,50,60,44,30
"003801",50,43,-1,-1,-1,45,-1,46,-1,-1,-1,-1,79,85,75,-1,75,83,79,85,75,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,39,43,50,48,33,40,44,47,40,28,24,34,22,29,35,31,18,25,28,31,25,-1,-1,19,26,34,34,39,25,34,32,38,24,24,10,29,43,43,47,42,35,41,51,48,37,26,32,42,27,27,40,33,26,28,30,33,29,-1,-1,24,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,35,43,53,55,32,39,37,45,43,30,14,26,10,16,25,24,11,16,16,21,-1,16,-1,-1,-1,10,-1,-1,-1,12,-1,11,-1,-1,-1,-1,46,51,54,59,39,47,52,55,42,32,33,43
"003902",55,60,-1,64,56,67,53,59,-1,71,-1,-1,85,77,-1,-1,89,77,75,78,-1,-1,-1,83,.,.,.,.,.,.,.,.,.,.,.,.,55,57,57,56,59,64,54,57,61,64,41,39,28,29,33,19,30,40,31,28,33,33,-1,26,40,42,41,40,44,51,39,41,52,51,24,29,57,60,56,56,59,65,57,61,56,64,48,46,45,46,43,40,50,57,40,46,61,61,26,30,-1,60,-1,-1,-1,71,-1,-1,.,-1,-1,-1,15,21,-1,-1,22,42,19,22,-1,-1,-1,17,53,54,59,56,59,63,50,53,66,65,33,33,20,26,21,26,29,39,20,26,34,33,10,17,10,19,-1,23,10,28,10,22,29,23,-1,13,60,63,65,65,64,68,60,63,63,67,48,43
