DISTRICT,DD200A001217R,DD200A001317R,DD200A001S17R,DD200AC01217R,DD200AC01317R,DD200AC01S17R,DD200AM01217R,DD200AM01317R,DD200AM01S17R,DD200AR01217R,DD200AR01317R,DD200AR01S17R,DD200AS01217R,DD200AS01317R,DD200AS01S17R,DD200AW01217R,DD200AW01317R,DD200AW01S17R,DD300A001217R,DD300A001317R,DD300A001S17R,DD300AC01217R,DD300AC01317R,DD300AC01S17R,DD300AM01217R,DD300AM01317R,DD300AM01S17R,DD300AR01217R,DD300AR01317R,DD300AR01S17R,DD300AS01217R,DD300AS01317R,DD300AS01S17R,DD300AW01217R,DD300AW01317R,DD300AW01S17R,DD400A001217R,DD400A001317R,DD400A001S17R,DD400AC01217R,DD400AC01317R,DD400AC01S17R,DD400AM01217R,DD400AM01317R,DD400AM01S17R,DD400AR01217R,DD400AR01317R,DD400AR01S17R,DD400AS01217R,DD400AS01317R,DD400AS01S17R,DD400AW01217R,DD400AW01317R,DD400AW01S17R,DDA00A001217R,DDA00A001317R,DDA00A001S17R,DDA00AC01217R,DDA00AC01317R,DDA00AC01S17R,DDA00AM01217R,DDA00AM01317R,DDA00AM01S17R,DDA00AR01217R,DDA00AR01317R,DDA00AR01S17R,DDA00AS01217R,DDA00AS01317R,DDA00AS01S17R,DDA00AW01217R,DDA00AW01317R,DDA00AW01S17R,DDB00A001217R,DDB00A001317R,DDB00A001S17R,DDB00AC01217R,DDB00AC01317R,DDB00AC01S17R,DDB00AM01217R,DDB00AM01317R,DDB00AM01S17R,DDB00AR01217R,DDB00AR01317R,DDB00AR01S17R,DDB00AS01217R,DDB00AS01317R,DDB00AS01S17R,DDB00AW01217R,DDB00AW01317R,DDB00AW01S17R,DDE00A001217R,DDE00A001317R,DDE00A001S17R,DDE00AC01217R,DDE00AC01317R,DDE00AC01S17R,DDE00AM01217R,DDE00AM01317R,DDE00AM01S17R,DDE00AR01217R,DDE00AR01317R,DDE00AR01S17R,DDE00AS01217R,DDE00AS01317R,DDE00AS01S17R,DDE00AW01217R,DDE00AW01317R,DDE00AW01S17R,DDF00A001217R,DDF00A001317R,DDF00A001S17R,DDF00AC01217R,DDF00AC01317R,DDF00AC01S17R,DDF00AM01217R,DDF00AM01317R,DDF00AM01S17R,DDF00AR01217R,DDF00AR01317R,DDF00AR01S17R,DDF00AS01217R,DDF00AS01317R,DDF00AS01S17R,DDF00AW01217R,DDF00AW01317R,DDF00AW01S17R,DDH00A001217R,DDH00A001317R,DDH00A001S17R,DDH00AC01217R,DDH00AC01317R,DDH00AC01S17R,DDH00AM01217R,DDH00AM01317R,DDH00AM01S17R,DDH00AR01217R,DDH00AR01317R,DDH00AR01S17R,DDH00AS01217R,DDH00AS01317R,DDH00AS01S17R,DDH00AW01217R,DDH00AW01317R,DDH00AW01S17R,DDI00A001217R,DDI00A001317R,DDI00A001S17R,DDI00AC01217R,DDI00AC01317R,DDI00AC01S17R,DDI00AM01217R,DDI00AM01317R,DDI00AM01S17R,DDI00AR01217R,DDI00AR01317R,DDI00AR01S17R,DDI00AS01217R,DDI00AS01317R,DDI00AS01S17R,DDI00AW01217R,DDI00AW01317R,DDI00AW01S17R,DDL00A001217R,DDL00A001317R,DDL00A001S17R,DDL00AC01217R,DDL00AC01317R,DDL00AC01S17R,DDL00AM01217R,DDL00AM01317R,DDL00AM01S17R,DDL00AR01217R,DDL00AR01317R,DDL00AR01S17R,DDL00AS01217R,DDL00AS01317R,DDL00AS01S17R,DDL00AW01217R,DDL00AW01317R,DDL00AW01S17R,DDM00A001217R,DDM00A001317R,DDM00A001S17R,DDM00AC01217R,DDM00AC01317R,DDM00AC01S17R,DDM00AM01217R,DDM00AM01317R,DDM00AM01S17R,DDM00AR01217R,DDM00AR01317R,DDM00AR01S17R,DDM00AS01217R,DDM00AS01317R,DDM00AS01S17R,DDM00AW01217R,DDM00AW01317R,DDM00AW01S17R,DDR00A001217R,DDR00A001317R,DDR00A001S17R,DDR00AC01217R,DDR00AC01317R,DDR00AC01S17R,DDR00AM01217R,DDR00AM01317R,DDR00AM01S17R,DDR00AR01217R,DDR00AR01317R,DDR00AR01S17R,DDR00AS01217R,DDR00AS01317R,DDR00AS01S17R,DDR00AW01217R,DDR00AW01317R,DDR00AW01S17R,DDS00A001217R,DDS00A001317R,DDS00A001S17R,DDS00AC01217R,DDS00AC01317R,DDS00AC01S17R,DDS00AM01217R,DDS00AM01317R,DDS00AM01S17R,DDS00AR01217R,DDS00AR01317R,DDS00AR01S17R,DDS00AS01217R,DDS00AS01317R,DDS00AS01S17R,DDS00AW01217R,DDS00AW01317R,DDS00AW01S17R,DDW00A001217R,DDW00A001317R,DDW00A001S17R,DDW00AC01217R,DDW00AC01317R,DDW00AC01S17R,DDW00AM01217R,DDW00AM01317R,DDW00AM01S17R,DDW00AR01217R,DDW00AR01317R,DDW00AR01S17R,DDW00AS01217R,DDW00AS01317R,DDW00AS01S17R,DDW00AW01217R,DDW00AW01317R,DDW00AW01S17R
"001902",46,20,80,-1,-1,-1,-1,-1,-1,57,22,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,19,80,49,13,77,53,21,86,53,21,78,33,14,73,47,20,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,12,72,-1,-1,-1,39,10,74,42,12,74,-1,-1,-1,36,21,64,52,21,83,37,8,75,56,22,87,57,25,83,32,12,73,61,33,89,39,15,67,-1,-1,-1,42,19,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,48,18,77,62,18,80,51,20,85,49,18,73,34,16,73,36,11,70,21,3,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,7,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,20,81,52,14,81,55,22,88,55,22,80,32,15,72,43,20,77
"001903",46,19,84,-1,-1,-1,57,24,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,53,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,48,18,82,50,14,83,49,21,86,49,18,80,42,22,81,43,8,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,13,76,45,9,77,40,13,82,41,15,74,41,19,72,31,8,64,51,19,85,47,12,82,54,22,86,54,22,86,35,12,82,53,14,84,47,17,83,-1,-1,-1,59,23,92,52,22,84,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,45,18,80,53,17,83,44,20,87,45,15,75,47,30,80,-1,-1,-1,21,3,64,-1,-1,-1,22,4,75,21,2,58,22,7,66,-1,-1,-1,18,8,46,-1,-1,-1,21,9,57,20,10,39,-1,-1,-1,-1,-1,-1,50,19,84,55,17,86,49,21,87,51,19,81,45,23,82,46,9,79
"001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,21,85,51,15,87,53,23,89,54,23,82,57,22,88,44,15,79,26,7,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,13,78,45,13,81,39,13,84,42,15,73,43,14,80,29,7,74,58,24,87,51,20,89,55,24,90,64,30,86,60,22,88,47,13,80,51,23,91,55,25,95,56,29,98,49,23,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,18,83,51,12,85,51,21,87,45,18,78,53,22,88,42,16,77,27,6,72,-1,-1,-1,28,7,79,28,7,66,-1,-1,-1,-1,-1,-1,29,10,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,23,86,57,16,88,56,24,89,58,26,84,65,26,88,45,16,81
"001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,24,83,62,22,89,59,29,93,51,23,75,33,14,69,52,15,79,30,11,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,18,77,47,17,83,51,24,94,40,17,65,-1,-1,-1,-1,-1,-1,56,28,86,65,27,88,56,30,94,58,33,80,-1,-1,-1,62,21,90,35,20,71,-1,-1,-1,38,25,96,32,18,54,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,19,79,59,17,90,61,29,93,44,12,70,44,24,68,-1,-1,-1,29,6,66,-1,-1,-1,39,8,86,22,5,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,25,86,71,26,93,64,30,94,55,25,80,32,14,70,58,16,86
"001907",39,19,69,45,23,82,38,20,71,37,16,66,63,63,75,-1,-1,-1,70,43,94,80,50,100,69,54,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,35,13,67,38,12,67,40,17,75,32,10,61,40,18,73,26,5,59,24,6,60,22,4,56,26,7,69,24,6,54,30,7,65,-1,-1,-1,30,10,63,31,8,63,35,14,72,27,7,57,35,14,67,21,4,56,38,14,69,39,12,67,40,19,75,36,12,65,41,18,75,33,7,66,34,11,66,36,9,66,43,18,75,29,8,59,34,15,70,24,5,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,5,49,-1,-1,-1,23,8,63,13,3,42,-1,-1,-1,-1,-1,-1,33,12,65,36,13,68,39,15,74,29,8,58,39,19,71,19,3,53,18,4,53,21,4,56,22,6,63,15,2,45,23,7,63,9,2,43,18,4,35,-1,-1,-1,20,5,43,15,3,25,-1,-1,-1,-1,-1,-1,46,21,75,55,25,79,47,24,79,44,18,70,56,30,84,34,8,68
"001908",26,9,62,-1,-1,-1,-1,-1,-1,32,12,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,10,65,29,4,61,33,11,68,34,11,65,36,15,72,19,3,51,23,5,57,-1,-1,-1,25,8,57,24,4,59,22,11,67,-1,-1,-1,27,8,61,21,4,53,27,8,66,31,11,62,25,9,62,-1,-1,-1,35,10,70,-1,-1,-1,34,12,72,39,13,71,36,13,78,27,6,60,27,7,60,-1,-1,-1,29,9,66,29,8,62,26,12,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,9,61,29,6,62,33,10,65,30,10,60,36,16,67,-1,-1,-1,17,3,51,-1,-1,-1,19,4,58,17,3,52,22,8,55,-1,-1,-1,14,3,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,13,71,38,8,73,40,13,75,41,16,71,45,17,80,22,5,52
"001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,13,80,38,12,82,30,12,81,50,18,86,43,9,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,35,10,76,32,11,75,26,11,79,42,9,80,-1,-1,-1,-1,-1,-1,39,15,81,37,12,79,26,11,84,54,21,88,-1,-1,-1,-1,-1,-1,37,23,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,40,11,79,39,13,85,34,12,79,47,14,83,-1,-1,-1,-1,-1,-1,22,4,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,13,79,38,13,82,30,11,82,49,17,85,44,10,66,-1,-1,-1
"002901",52,23,82,72,44,100,50,21,84,49,19,81,-1,-1,-1,-1,-1,-1,60,40,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,38,14,69,44,14,76,36,16,72,38,14,66,45,22,76,22,3,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,8,59,32,9,67,25,9,64,27,8,55,29,10,64,16,2,42,40,14,71,45,12,78,37,17,72,42,15,69,44,18,79,27,4,60,32,11,65,39,10,71,31,13,68,33,11,61,39,15,71,19,3,50,46,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,4,42,-1,-1,-1,12,3,57,13,7,35,-1,-1,-1,-1,-1,-1,36,14,67,44,16,73,35,16,72,35,14,63,47,25,72,19,3,47,16,4,50,21,4,60,13,3,55,16,3,45,21,7,59,-1,-1,-1,11,3,32,19,5,43,-1,-1,-1,-1,-1,-1,14,8,34,-1,-1,-1,49,22,78,56,22,84,47,22,81,52,22,77,59,37,87,30,5,60
"003801",37,13,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,31,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,16,77,47,18,81,39,13,80,45,20,77,26,9,56,34,11,75,26,8,58,-1,-1,-1,-1,-1,-1,28,12,59,-1,-1,-1,-1,-1,-1,34,11,71,37,9,73,33,8,77,36,16,70,-1,-1,-1,29,9,64,42,15,80,41,16,79,40,12,82,47,21,82,-1,-1,-1,42,13,83,29,9,72,-1,-1,-1,28,9,79,32,14,71,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,5,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,16,74,55,20,83,38,13,77,43,20,71,29,17,63,26,7,65,17,4,59,23,5,66,15,5,63,20,5,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,20,85,59,24,91,47,17,86,54,25,85,31,12,63,43,12,85
"003902",60,18,86,-1,-1,-1,-1,-1,-1,58,21,79,-1,-1,-1,-1,-1,-1,72,38,91,-1,-1,-1,79,43,100,64,41,77,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,26,85,56,22,87,62,31,91,54,24,82,64,35,86,39,14,73,29,5,65,-1,-1,-1,-1,-1,-1,26,6,59,-1,-1,-1,-1,-1,-1,42,15,77,39,9,78,50,19,86,38,14,73,50,22,77,29,6,64,59,26,86,56,20,87,64,32,91,59,25,85,63,30,88,46,16,76,46,19,80,39,12,77,55,26,88,43,16,77,60,26,81,29,5,70,50,27,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,10,65,-1,-1,-1,39,15,78,19,10,65,-1,-1,-1,-1,-1,-1,54,25,84,55,23,86,61,31,92,50,22,80,64,42,84,33,11,70,29,8,71,26,2,73,38,12,83,23,6,64,33,12,68,-1,-1,-1,21,7,48,-1,-1,-1,27,8,69,18,5,36,21,18,45,-1,-1,-1,62,30,89,64,26,91,67,36,93,61,28,87,66,40,88,43,17,76
