DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD000AC01218R,DD000AC01318R,DD000AC01S18R,DD000AM01218R,DD000AM01318R,DD000AM01S18R,DD000AR01218R,DD000AR01318R,DD000AR01S18R,DD000AS01218R,DD000AS01318R,DD000AS01S18R,DD000AW01218R,DD000AW01318R,DD000AW01S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD200AC01218R,DD200AC01318R,DD200AC01S18R,DD200AM01218R,DD200AM01318R,DD200AM01S18R,DD200AR01218R,DD200AR01318R,DD200AR01S18R,DD200AS01218R,DD200AS01318R,DD200AS01S18R,DD200AW01218R,DD200AW01318R,DD200AW01S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD300AC01218R,DD300AC01318R,DD300AC01S18R,DD300AM01218R,DD300AM01318R,DD300AM01S18R,DD300AR01218R,DD300AR01318R,DD300AR01S18R,DD300AS01218R,DD300AS01318R,DD300AS01S18R,DD300AW01218R,DD300AW01318R,DD300AW01S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DD400AC01218R,DD400AC01318R,DD400AC01S18R,DD400AM01218R,DD400AM01318R,DD400AM01S18R,DD400AR01218R,DD400AR01318R,DD400AR01S18R,DD400AS01218R,DD400AS01318R,DD400AS01S18R,DD400AW01218R,DD400AW01318R,DD400AW01S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDA00AC01218R,DDA00AC01318R,DDA00AC01S18R,DDA00AM01218R,DDA00AM01318R,DDA00AM01S18R,DDA00AR01218R,DDA00AR01318R,DDA00AR01S18R,DDA00AS01218R,DDA00AS01318R,DDA00AS01S18R,DDA00AW01218R,DDA00AW01318R,DDA00AW01S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDB00AC01218R,DDB00AC01318R,DDB00AC01S18R,DDB00AM01218R,DDB00AM01318R,DDB00AM01S18R,DDB00AR01218R,DDB00AR01318R,DDB00AR01S18R,DDB00AS01218R,DDB00AS01318R,DDB00AS01S18R,DDB00AW01218R,DDB00AW01318R,DDB00AW01S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDE00AC01218R,DDE00AC01318R,DDE00AC01S18R,DDE00AM01218R,DDE00AM01318R,DDE00AM01S18R,DDE00AR01218R,DDE00AR01318R,DDE00AR01S18R,DDE00AS01218R,DDE00AS01318R,DDE00AS01S18R,DDE00AW01218R,DDE00AW01318R,DDE00AW01S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDF00AC01218R,DDF00AC01318R,DDF00AC01S18R,DDF00AM01218R,DDF00AM01318R,DDF00AM01S18R,DDF00AR01218R,DDF00AR01318R,DDF00AR01S18R,DDF00AS01218R,DDF00AS01318R,DDF00AS01S18R,DDF00AW01218R,DDF00AW01318R,DDF00AW01S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDH00AC01218R,DDH00AC01318R,DDH00AC01S18R,DDH00AM01218R,DDH00AM01318R,DDH00AM01S18R,DDH00AR01218R,DDH00AR01318R,DDH00AR01S18R,DDH00AS01218R,DDH00AS01318R,DDH00AS01S18R,DDH00AW01218R,DDH00AW01318R,DDH00AW01S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDI00AC01218R,DDI00AC01318R,DDI00AC01S18R,DDI00AM01218R,DDI00AM01318R,DDI00AM01S18R,DDI00AR01218R,DDI00AR01318R,DDI00AR01S18R,DDI00AS01218R,DDI00AS01318R,DDI00AS01S18R,DDI00AW01218R,DDI00AW01318R,DDI00AW01S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDL00AC01218R,DDL00AC01318R,DDL00AC01S18R,DDL00AM01218R,DDL00AM01318R,DDL00AM01S18R,DDL00AR01218R,DDL00AR01318R,DDL00AR01S18R,DDL00AS01218R,DDL00AS01318R,DDL00AS01S18R,DDL00AW01218R,DDL00AW01318R,DDL00AW01S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDM00AC01218R,DDM00AC01318R,DDM00AC01S18R,DDM00AM01218R,DDM00AM01318R,DDM00AM01S18R,DDM00AR01218R,DDM00AR01318R,DDM00AR01S18R,DDM00AS01218R,DDM00AS01318R,DDM00AS01S18R,DDM00AW01218R,DDM00AW01318R,DDM00AW01S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDR00AC01218R,DDR00AC01318R,DDR00AC01S18R,DDR00AM01218R,DDR00AM01318R,DDR00AM01S18R,DDR00AR01218R,DDR00AR01318R,DDR00AR01S18R,DDR00AS01218R,DDR00AS01318R,DDR00AS01S18R,DDR00AW01218R,DDR00AW01318R,DDR00AW01S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDS00AC01218R,DDS00AC01318R,DDS00AC01S18R,DDS00AM01218R,DDS00AM01318R,DDS00AM01S18R,DDS00AR01218R,DDS00AR01318R,DDS00AR01S18R,DDS00AS01218R,DDS00AS01318R,DDS00AS01S18R,DDS00AW01218R,DDS00AW01318R,DDS00AW01S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DDW00AC01218R,DDW00AC01318R,DDW00AC01S18R,DDW00AM01218R,DDW00AM01318R,DDW00AM01S18R,DDW00AR01218R,DDW00AR01318R,DDW00AR01S18R,DDW00AS01218R,DDW00AS01318R,DDW00AS01S18R,DDW00AW01218R,DDW00AW01318R,DDW00AW01S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNC00AC01218R,DNC00AC01318R,DNC00AC01S18R,DNC00AM01218R,DNC00AM01318R,DNC00AM01S18R,DNC00AR01218R,DNC00AR01318R,DNC00AR01S18R,DNC00AS01218R,DNC00AS01318R,DNC00AS01S18R,DNC00AW01218R,DNC00AW01318R,DNC00AW01S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNM00AC01218R,DNM00AC01318R,DNM00AC01S18R,DNM00AM01218R,DNM00AM01318R,DNM00AM01S18R,DNM00AR01218R,DNM00AR01318R,DNM00AR01S18R,DNM00AS01218R,DNM00AS01318R,DNM00AS01S18R,DNM00AW01218R,DNM00AW01318R,DNM00AW01S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R,DNS00AC01218R,DNS00AC01318R,DNS00AC01S18R,DNS00AM01218R,DNS00AM01318R,DNS00AM01S18R,DNS00AR01218R,DNS00AR01318R,DNS00AR01S18R,DNS00AS01218R,DNS00AS01318R,DNS00AS01S18R,DNS00AW01218R,DNS00AW01318R,DNS00AW01S18R
"001902",-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,45,17,81,30,20,80,44,13,88,56,22,72,40,20,80,-1,-1,-1,40,20,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,21,80,47,17,81,55,25,86,56,22,82,39,22,72,41,11,65,50,18,73,-1,-1,-1,57,29,71,50,25,75,-1,-1,-1,-1,-1,-1,38,14,73,36,11,74,38,15,78,43,16,74,33,16,73,26,11,50,56,23,84,44,14,79,64,28,91,62,25,87,26,17,69,47,18,71,36,17,72,29,7,79,40,24,76,46,21,71,0,0,33,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,48,19,78,49,19,83,48,22,82,50,19,78,49,26,74,36,6,60,25,6,65,24,4,70,29,12,73,27,5,65,20,0,53,14,6,47,18,5,48,28,11,56,12,2,51,21,8,38,24,0,62,8,0,38,53,22,81,50,19,81,58,26,87,57,22,84,43,25,74,41,11,63,53,22,81,44,16,80,58,27,87,56,22,83,43,23,67,48,6,70,48,20,80,50,19,83,50,21,84,54,21,80,30,20,83,32,17,59,55,18,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001903",19,0,65,-1,-1,-1,27,0,82,15,0,54,-1,-1,-1,-1,-1,-1,55,20,88,75,17,92,61,28,100,46,15,88,-1,-1,-1,40,0,40,75,38,94,-1,-1,-1,-1,-1,-1,100,33,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,52,22,81,47,18,84,56,26,87,52,20,80,48,31,73,53,12,76,18,2,52,17,0,42,24,8,60,19,0,59,0,0,14,17,0,50,44,15,77,40,11,81,48,19,83,41,13,75,48,28,68,39,3,68,58,24,85,46,19,83,60,27,88,62,25,87,48,25,73,62,17,80,52,27,83,39,18,86,55,30,90,51,25,76,43,36,79,74,26,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,0,73,.,.,.,20,0,80,20,0,80,.,.,.,-1,-1,-1,47,20,78,47,17,84,53,25,85,43,16,73,48,36,73,47,8,73,27,7,65,20,2,72,30,11,75,22,2,57,58,33,79,12,0,42,22,8,49,16,0,47,25,10,50,18,7,48,35,25,55,22,0,44,54,22,82,48,19,85,58,26,87,54,21,81,51,31,76,52,11,77,53,22,82,47,16,83,56,26,88,52,21,81,49,30,74,54,11,73,51,22,80,46,22,85,56,25,84,51,18,76,47,32,72,52,14,84,49,20,88,60,20,100,60,27,87,40,20,87,.,.,.,33,0,83
"001904",39,11,73,-1,-1,-1,50,7,86,32,16,58,-1,-1,-1,50,17,83,35,16,79,33,17,83,42,17,83,38,21,88,-1,-1,-1,14,0,43,93,40,100,-1,-1,-1,100,40,100,83,33,100,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,24,81,58,23,83,55,28,86,51,24,79,48,26,79,47,15,74,32,11,66,31,6,69,27,10,76,37,15,61,40,20,60,27,0,55,41,16,73,46,13,76,45,19,80,40,17,70,31,15,66,34,9,62,55,26,82,60,21,83,56,29,85,55,28,82,49,26,79,53,17,77,53,16,80,75,8,100,62,22,86,46,15,67,33,22,89,50,8,83,100,67,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,25,7,61,-1,-1,-1,33,0,78,15,8,46,-1,-1,-1,-1,-1,-1,50,22,80,57,24,83,54,26,87,48,20,76,47,26,79,42,12,70,25,7,61,27,5,64,31,8,70,20,9,56,17,6,57,23,5,45,29,14,48,22,7,44,31,12,56,26,20,44,35,12,59,35,15,35,55,26,83,60,25,83,58,31,87,53,26,81,49,26,80,51,17,76,54,25,81,60,22,83,57,28,86,52,25,78,52,26,83,48,15,74,50,23,81,56,23,82,52,27,87,49,21,81,40,26,72,47,14,72,41,15,90,71,14,100,67,25,92,25,8,75,0,0,100,20,20,100
"001906",38,8,92,-1,-1,-1,40,20,100,0,0,80,-1,-1,-1,.,.,.,83,17,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,22,86,69,35,91,49,19,91,57,23,85,55,25,80,40,8,67,44,16,66,60,20,80,44,22,67,43,14,71,-1,-1,-1,-1,-1,-1,44,15,81,59,21,90,44,15,87,44,15,79,38,17,67,30,0,70,60,27,89,70,43,93,51,19,90,67,32,90,55,28,86,50,11,79,39,15,78,40,10,70,37,19,78,33,12,79,60,20,80,60,20,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,8,92,-1,-1,-1,40,20,100,0,0,80,-1,-1,-1,.,.,.,47,16,81,68,25,89,45,19,91,45,13,80,55,23,73,25,5,50,27,6,71,52,11,81,24,5,85,26,6,68,15,8,38,0,0,30,26,11,62,43,29,71,33,7,80,22,6,56,20,20,50,-1,-1,-1,57,24,88,75,42,96,50,18,95,63,27,88,55,29,83,37,7,66,55,24,84,78,42,91,49,21,90,56,22,83,58,31,81,41,11,68,52,18,88,52,22,91,48,13,92,59,25,92,47,13,80,36,0,64,29,14,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"001907",30,10,62,30,6,66,39,16,73,27,9,58,20,4,39,18,2,45,38,20,71,34,28,69,34,19,73,41,18,72,56,33,67,25,0,67,73,46,90,63,50,100,83,67,83,75,38,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,38,15,70,37,13,72,43,19,76,35,12,67,41,18,69,31,8,58,25,8,61,19,5,60,30,9,67,24,8,57,27,9,63,25,7,55,32,10,65,30,8,67,38,15,73,29,9,61,31,10,63,25,5,51,40,16,72,36,13,72,44,20,76,39,15,72,39,14,69,40,10,64,38,13,69,39,11,73,45,19,78,33,9,65,40,15,65,28,5,55,80,20,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,20,6,54,11,2,52,30,8,67,17,6,49,19,0,30,12,2,39,36,14,68,39,14,72,42,19,76,31,10,62,43,22,70,24,6,54,21,5,58,17,2,60,27,7,67,19,3,53,29,6,61,13,1,39,21,6,42,29,5,49,26,9,47,17,5,38,16,2,41,18,8,26,51,23,79,55,22,82,54,29,83,49,20,77,53,30,83,43,15,66,38,14,71,37,13,74,44,19,77,35,12,68,38,16,67,32,7,60,38,15,67,37,14,65,40,19,74,37,11,63,53,28,79,30,11,55,23,11,59,22,11,56,35,19,77,18,4,57,20,20,40,0,0,17
"001908",17,3,51,6,0,29,27,5,63,10,2,47,17,8,50,18,0,45,35,8,72,20,7,73,37,9,80,40,10,64,14,0,71,-1,-1,-1,43,29,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,12,68,31,10,68,38,15,72,37,11,65,37,15,69,24,2,55,25,7,54,22,6,58,23,10,58,27,5,50,34,13,56,11,6,39,32,11,63,25,8,63,34,13,67,33,10,62,37,14,67,18,1,49,39,13,72,28,11,70,42,16,73,41,12,71,42,18,75,23,1,64,31,9,64,20,6,59,35,12,68,29,9,63,39,14,70,23,0,43,17,0,46,-1,-1,-1,13,0,38,33,0,56,-1,-1,-1,-1,-1,-1,5,0,35,0,0,17,11,0,50,0,0,28,11,0,44,0,0,20,33,11,64,33,9,66,36,13,71,33,10,60,32,12,62,25,2,43,20,5,54,16,4,55,25,6,62,20,4,50,20,6,52,6,1,38,14,5,32,7,3,38,18,4,38,13,6,28,9,4,22,20,10,20,42,15,74,39,14,74,46,18,78,44,15,72,38,15,72,26,2,65,38,12,69,33,11,72,40,15,73,39,11,67,41,16,72,22,2,56,30,11,63,25,7,59,33,14,70,31,11,61,27,10,60,26,0,53,38,11,60,40,20,80,38,13,63,42,11,58,-1,-1,-1,-1,-1,-1
"001909",33,11,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,28,94,-1,-1,-1,86,14,86,100,29,100,.,.,.,-1,-1,-1,17,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,17,83,54,20,85,39,11,84,56,20,84,43,17,78,51,17,81,60,27,87,-1,-1,-1,50,33,83,67,33,83,.,.,.,-1,-1,-1,37,11,78,42,12,79,28,5,76,45,15,82,32,14,68,31,8,73,48,16,86,47,14,81,33,10,84,61,20,91,46,12,85,53,22,86,58,32,90,-1,-1,-1,30,20,90,75,42,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,33,11,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,18,80,59,23,88,46,11,84,51,21,78,39,21,71,47,6,71,28,3,71,37,6,75,15,0,72,35,3,70,24,12,65,25,8,58,19,2,52,26,0,58,10,3,52,24,3,58,20,0,20,-1,-1,-1,47,15,83,54,20,85,37,9,83,54,18,84,42,14,78,48,15,80,48,15,85,58,16,87,35,11,85,56,19,84,46,15,85,44,12,79,52,19,81,47,27,80,51,9,80,56,23,85,33,20,60,63,26,84,67,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"002901",31,10,60,26,9,58,38,14,71,31,7,57,22,11,52,24,3,38,55,29,87,61,22,83,56,41,92,58,27,87,50,38,88,38,8,77,59,35,88,-1,-1,-1,83,50,100,50,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,41,17,73,40,17,73,43,19,79,40,15,70,47,26,77,32,6,57,44,8,74,-1,-1,-1,45,9,73,60,13,80,-1,-1,-1,33,0,50,29,9,62,28,7,61,29,10,69,29,7,60,34,18,66,21,3,43,43,17,74,38,12,72,44,20,79,45,16,75,45,23,74,34,9,59,36,13,69,35,12,68,38,16,75,35,11,66,42,22,74,26,5,51,33,12,76,-1,-1,-1,42,17,92,42,17,67,-1,-1,-1,-1,-1,-1,17,4,43,8,1,31,24,6,60,19,6,42,6,0,26,7,0,18,39,17,71,43,20,75,42,19,79,36,13,66,49,29,80,30,4,55,19,4,56,18,3,57,22,5,65,19,3,50,23,9,64,12,2,34,14,4,36,14,7,43,16,5,44,13,3,28,19,2,47,6,0,14,53,25,82,55,28,85,54,26,85,52,23,79,60,36,84,47,10,73,41,17,73,40,16,74,43,20,79,40,15,71,48,25,79,33,6,58,40,17,70,40,20,71,42,18,78,40,14,66,44,28,72,27,6,54,30,11,74,50,0,75,34,14,86,28,17,72,-1,-1,-1,18,0,45
"003801",21,5,59,21,0,64,33,8,72,17,5,49,-1,-1,-1,0,0,45,47,28,66,67,50,67,50,40,70,46,15,69,.,.,.,-1,-1,-1,100,83,100,-1,-1,-1,-1,-1,-1,100,57,100,100,100,100,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,51,22,80,60,33,88,49,21,84,52,22,77,50,33,82,41,6,67,34,11,67,34,22,72,34,6,74,32,15,61,29,12,65,37,3,60,42,15,73,52,26,84,40,14,79,42,14,68,50,26,76,33,4,63,51,22,82,55,30,88,48,19,85,57,24,80,42,30,81,44,6,74,37,13,74,44,17,85,40,14,80,36,13,70,31,19,75,18,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,5,60,23,0,69,33,8,72,16,5,47,-1,-1,-1,0,0,50,50,23,77,64,36,88,51,23,82,47,20,74,60,38,83,37,5,59,18,4,56,23,8,68,18,5,63,19,4,52,14,0,45,8,0,40,14,7,33,19,5,43,15,11,40,13,6,27,29,0,29,6,0,19,61,28,87,71,40,94,57,27,89,64,28,84,56,38,86,53,9,78,50,20,80,58,29,89,50,20,85,50,20,75,48,27,80,39,4,67,53,26,80,63,41,87,48,23,82,56,25,79,54,44,85,43,8,66,50,25,85,-1,-1,-1,38,13,88,50,38,88,.,.,.,-1,-1,-1
"003902",38,17,77,20,7,71,50,29,87,33,14,76,34,9,63,38,9,68,62,20,90,73,18,91,69,31,96,58,16,87,43,0,100,-1,-1,-1,81,52,98,83,50,100,83,67,100,79,50,100,100,40,100,60,40,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,28,86,54,22,85,65,36,92,55,24,86,65,38,87,48,16,73,33,12,67,23,9,62,41,16,76,30,9,66,42,26,65,26,4,48,46,19,79,41,14,76,53,25,88,41,15,77,57,31,80,35,8,61,61,30,88,55,22,82,65,37,93,60,27,89,66,37,87,52,21,76,49,23,82,41,14,80,58,32,89,43,18,80,65,30,85,42,14,69,49,32,85,50,33,83,50,36,93,38,19,75,-1,-1,-1,-1,-1,-1,24,10,69,9,0,53,40,22,83,16,4,71,9,0,27,13,0,50,56,26,85,53,22,88,65,35,91,50,20,82,64,39,87,44,12,69,33,9,73,27,6,67,42,14,84,28,5,71,42,19,71,23,2,53,28,9,56,27,9,49,31,13,67,28,7,55,31,12,55,16,0,23,64,31,90,61,26,89,70,40,94,61,27,90,66,42,89,53,18,76,62,30,89,58,23,88,69,40,94,58,25,88,67,41,89,51,17,76,49,21,80,45,20,78,56,25,86,45,19,80,56,29,79,40,14,65,52,22,85,57,43,86,75,46,96,37,7,90,-1,-1,-1,35,0,53
