DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD000AC01219R,DD000AC01319R,DD000AC01S19R,DD000AM01219R,DD000AM01319R,DD000AM01S19R,DD000AR01219R,DD000AR01319R,DD000AR01S19R,DD000AS01219R,DD000AS01319R,DD000AS01S19R,DD000AW01219R,DD000AW01319R,DD000AW01S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD200AC01219R,DD200AC01319R,DD200AC01S19R,DD200AM01219R,DD200AM01319R,DD200AM01S19R,DD200AR01219R,DD200AR01319R,DD200AR01S19R,DD200AS01219R,DD200AS01319R,DD200AS01S19R,DD200AW01219R,DD200AW01319R,DD200AW01S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD300AC01219R,DD300AC01319R,DD300AC01S19R,DD300AM01219R,DD300AM01319R,DD300AM01S19R,DD300AR01219R,DD300AR01319R,DD300AR01S19R,DD300AS01219R,DD300AS01319R,DD300AS01S19R,DD300AW01219R,DD300AW01319R,DD300AW01S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DD400AC01219R,DD400AC01319R,DD400AC01S19R,DD400AM01219R,DD400AM01319R,DD400AM01S19R,DD400AR01219R,DD400AR01319R,DD400AR01S19R,DD400AS01219R,DD400AS01319R,DD400AS01S19R,DD400AW01219R,DD400AW01319R,DD400AW01S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDA00AC01219R,DDA00AC01319R,DDA00AC01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AM01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AR01S19R,DDA00AS01219R,DDA00AS01319R,DDA00AS01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AW01S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDB00AC01219R,DDB00AC01319R,DDB00AC01S19R,DDB00AM01219R,DDB00AM01319R,DDB00AM01S19R,DDB00AR01219R,DDB00AR01319R,DDB00AR01S19R,DDB00AS01219R,DDB00AS01319R,DDB00AS01S19R,DDB00AW01219R,DDB00AW01319R,DDB00AW01S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDE00AC01219R,DDE00AC01319R,DDE00AC01S19R,DDE00AM01219R,DDE00AM01319R,DDE00AM01S19R,DDE00AR01219R,DDE00AR01319R,DDE00AR01S19R,DDE00AS01219R,DDE00AS01319R,DDE00AS01S19R,DDE00AW01219R,DDE00AW01319R,DDE00AW01S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDF00AC01219R,DDF00AC01319R,DDF00AC01S19R,DDF00AM01219R,DDF00AM01319R,DDF00AM01S19R,DDF00AR01219R,DDF00AR01319R,DDF00AR01S19R,DDF00AS01219R,DDF00AS01319R,DDF00AS01S19R,DDF00AW01219R,DDF00AW01319R,DDF00AW01S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDH00AC01219R,DDH00AC01319R,DDH00AC01S19R,DDH00AM01219R,DDH00AM01319R,DDH00AM01S19R,DDH00AR01219R,DDH00AR01319R,DDH00AR01S19R,DDH00AS01219R,DDH00AS01319R,DDH00AS01S19R,DDH00AW01219R,DDH00AW01319R,DDH00AW01S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDI00AC01219R,DDI00AC01319R,DDI00AC01S19R,DDI00AM01219R,DDI00AM01319R,DDI00AM01S19R,DDI00AR01219R,DDI00AR01319R,DDI00AR01S19R,DDI00AS01219R,DDI00AS01319R,DDI00AS01S19R,DDI00AW01219R,DDI00AW01319R,DDI00AW01S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDL00AC01219R,DDL00AC01319R,DDL00AC01S19R,DDL00AM01219R,DDL00AM01319R,DDL00AM01S19R,DDL00AR01219R,DDL00AR01319R,DDL00AR01S19R,DDL00AS01219R,DDL00AS01319R,DDL00AS01S19R,DDL00AW01219R,DDL00AW01319R,DDL00AW01S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDM00AC01219R,DDM00AC01319R,DDM00AC01S19R,DDM00AM01219R,DDM00AM01319R,DDM00AM01S19R,DDM00AR01219R,DDM00AR01319R,DDM00AR01S19R,DDM00AS01219R,DDM00AS01319R,DDM00AS01S19R,DDM00AW01219R,DDM00AW01319R,DDM00AW01S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDR00AC01219R,DDR00AC01319R,DDR00AC01S19R,DDR00AM01219R,DDR00AM01319R,DDR00AM01S19R,DDR00AR01219R,DDR00AR01319R,DDR00AR01S19R,DDR00AS01219R,DDR00AS01319R,DDR00AS01S19R,DDR00AW01219R,DDR00AW01319R,DDR00AW01S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDS00AC01219R,DDS00AC01319R,DDS00AC01S19R,DDS00AM01219R,DDS00AM01319R,DDS00AM01S19R,DDS00AR01219R,DDS00AR01319R,DDS00AR01S19R,DDS00AS01219R,DDS00AS01319R,DDS00AS01S19R,DDS00AW01219R,DDS00AW01319R,DDS00AW01S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DDW00AC01219R,DDW00AC01319R,DDW00AC01S19R,DDW00AM01219R,DDW00AM01319R,DDW00AM01S19R,DDW00AR01219R,DDW00AR01319R,DDW00AR01S19R,DDW00AS01219R,DDW00AS01319R,DDW00AS01S19R,DDW00AW01219R,DDW00AW01319R,DDW00AW01S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNC00AC01219R,DNC00AC01319R,DNC00AC01S19R,DNC00AM01219R,DNC00AM01319R,DNC00AM01S19R,DNC00AR01219R,DNC00AR01319R,DNC00AR01S19R,DNC00AS01219R,DNC00AS01319R,DNC00AS01S19R,DNC00AW01219R,DNC00AW01319R,DNC00AW01S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNM00AC01219R,DNM00AC01319R,DNM00AC01S19R,DNM00AM01219R,DNM00AM01319R,DNM00AM01S19R,DNM00AR01219R,DNM00AR01319R,DNM00AR01S19R,DNM00AS01219R,DNM00AS01319R,DNM00AS01S19R,DNM00AW01219R,DNM00AW01319R,DNM00AW01S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R,DNS00AC01219R,DNS00AC01319R,DNS00AC01S19R,DNS00AM01219R,DNS00AM01319R,DNS00AM01S19R,DNS00AR01219R,DNS00AR01319R,DNS00AR01S19R,DNS00AS01219R,DNS00AS01319R,DNS00AS01S19R,DNS00AW01219R,DNS00AW01319R,DNS00AW01S19R
"001902",-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,64,40,85,88,38,100,67,53,87,61,39,78,-1,-1,-1,-1,-1,-1,43,29,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,29,85,61,25,87,70,36,89,60,29,82,47,20,80,52,18,80,46,17,63,-1,-1,-1,50,25,63,50,10,60,-1,-1,-1,-1,-1,-1,53,25,80,61,20,92,62,31,82,50,25,73,40,20,90,31,11,71,66,33,89,64,30,90,74,41,94,68,36,87,42,5,84,62,24,83,56,21,82,80,20,100,65,20,90,60,24,72,20,20,100,29,14,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,57,25,81,57,20,84,67,31,85,53,23,78,53,34,76,42,12,77,39,12,71,41,7,77,49,19,79,36,11,64,33,10,74,19,3,50,21,5,44,29,0,65,27,4,46,18,7,38,14,7,71,8,0,8,62,29,85,58,24,85,72,37,90,60,29,84,50,20,78,56,18,84,62,29,85,60,26,86,71,34,90,61,30,83,46,16,81,59,21,82,59,29,83,61,23,89,68,39,86,57,26,81,53,32,79,33,8,75,65,26,96,-1,-1,-1,88,13,100,75,50,100,-1,-1,-1,-1,-1,-1
"001903",44,13,78,60,20,80,40,13,87,41,12,71,-1,-1,-1,40,20,80,52,24,79,40,20,80,50,35,80,48,13,74,71,43,86,-1,-1,-1,100,86,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,56,27,84,59,25,85,60,31,89,51,23,79,65,40,86,54,17,84,26,7,54,24,0,53,26,10,65,14,5,40,50,6,75,44,22,56,43,18,77,47,19,77,45,21,83,38,16,72,52,26,77,40,15,79,61,30,87,58,27,85,63,33,91,58,28,84,67,36,88,65,23,88,56,29,85,59,24,90,62,35,88,50,26,78,69,50,92,40,10,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,29,7,71,-1,-1,-1,27,0,82,27,9,64,.,.,.,40,20,80,52,24,81,60,23,86,57,29,87,45,19,75,62,44,84,43,9,80,27,8,69,27,8,66,32,8,80,22,6,64,34,17,65,20,2,67,24,10,48,23,13,55,29,11,56,19,7,39,45,10,60,18,12,41,59,27,86,63,26,88,62,31,91,54,24,83,64,42,86,57,17,86,59,29,85,61,24,87,65,34,91,53,24,80,69,43,89,54,21,86,51,22,81,55,26,82,50,25,84,48,20,78,52,31,77,55,9,81,54,28,87,58,17,83,50,33,96,57,23,87,71,57,71,33,17,83
"001904",35,15,80,17,0,67,65,35,82,23,9,82,-1,-1,-1,33,0,83,42,21,83,50,0,75,38,23,85,41,19,85,60,40,80,42,25,83,40,20,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,25,81,61,26,87,56,28,83,49,21,78,58,40,85,47,11,79,31,8,66,33,6,72,28,5,63,33,8,67,38,13,75,29,14,57,42,18,75,46,13,83,48,22,78,37,15,70,44,27,73,38,11,74,57,25,85,58,26,87,58,28,85,57,23,85,56,36,84,54,13,82,50,23,80,43,14,86,69,41,81,44,16,81,56,22,78,22,11,67,43,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,26,7,74,-1,-1,-1,54,23,77,12,0,76,-1,-1,-1,40,0,80,50,24,78,64,26,86,54,28,80,41,18,71,59,43,85,41,9,75,24,8,61,32,6,74,32,11,66,16,6,54,22,7,65,24,6,59,26,16,45,30,13,57,29,18,53,22,12,32,25,25,50,20,20,40,58,27,83,66,30,89,61,30,86,52,23,78,61,45,87,54,9,82,56,26,83,62,28,86,59,30,84,52,23,80,56,41,85,53,15,80,47,20,78,57,22,89,49,23,78,41,15,72,62,38,83,31,3,74,27,20,70,33,17,100,25,25,88,20,10,50,40,40,60,-1,-1,-1
"001906",33,0,72,-1,-1,-1,57,0,86,14,0,71,.,.,.,-1,-1,-1,35,12,76,-1,-1,-1,40,0,60,43,14,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,22,86,63,38,86,56,23,92,50,19,87,56,17,83,24,8,68,29,14,77,-1,-1,-1,36,27,82,33,17,83,20,0,80,-1,-1,-1,42,15,82,57,37,80,51,14,89,35,13,80,42,17,83,22,4,67,56,26,88,66,45,85,56,26,92,59,24,89,59,19,88,25,13,75,37,13,77,67,33,67,42,13,87,32,12,76,38,13,75,9,0,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,72,-1,-1,-1,57,0,86,14,0,71,.,.,.,-1,-1,-1,47,17,84,58,29,87,58,20,93,39,14,85,52,15,78,23,4,62,18,1,68,17,4,71,29,0,87,12,2,62,29,0,57,0,0,38,18,7,58,17,17,67,14,0,79,20,13,53,40,0,40,0,0,20,58,25,90,67,41,89,62,27,95,56,21,90,64,20,84,29,12,74,52,22,86,62,36,89,58,26,92,50,19,86,58,18,78,23,8,69,52,21,89,64,44,80,54,17,93,51,19,92,50,14,100,27,9,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"001907",31,13,66,26,6,59,46,22,81,27,10,60,14,7,55,16,2,53,43,20,72,45,32,86,50,26,74,43,16,68,13,0,88,30,10,55,74,56,82,-1,-1,-1,64,55,82,73,47,80,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,18,72,43,16,74,49,24,80,39,15,67,41,19,73,28,10,58,29,9,63,29,5,67,33,12,72,28,9,58,26,8,62,19,7,47,36,14,67,35,11,67,44,20,77,33,11,63,33,15,67,23,8,53,44,19,74,45,17,72,49,25,81,42,17,71,42,15,76,33,12,62,41,17,73,42,12,71,52,27,83,37,12,68,41,17,75,23,7,57,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,24,9,61,20,3,53,39,17,79,21,7,55,7,3,48,4,0,43,40,17,70,42,15,75,49,24,80,36,13,64,40,22,71,24,8,54,25,7,60,29,5,62,33,12,72,21,4,54,25,8,62,8,1,39,21,6,41,20,5,42,27,7,53,19,7,35,21,5,39,9,4,19,54,27,79,54,28,81,58,32,84,52,24,76,55,31,80,46,18,71,42,17,73,43,13,75,50,24,81,39,14,69,41,18,74,27,9,59,40,20,69,44,25,71,45,24,77,38,17,64,41,21,73,32,12,54,22,8,64,22,0,67,39,17,78,11,4,50,-1,-1,-1,25,13,63
"001908",15,3,51,9,3,50,20,4,67,15,1,45,19,10,48,5,0,29,25,7,59,11,0,67,33,9,67,20,5,50,40,10,80,18,9,45,50,30,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,14,67,42,16,75,37,16,71,35,12,62,40,16,71,29,10,56,24,6,56,20,5,62,23,10,54,25,6,53,33,8,69,21,0,50,32,12,63,37,14,71,32,13,67,30,10,58,36,17,65,23,8,52,38,14,72,40,14,76,37,16,74,41,15,70,33,6,68,36,12,68,33,13,65,39,13,72,34,17,70,33,11,63,29,14,63,25,6,51,10,10,40,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,37,5,0,38,10,2,54,8,2,31,14,14,36,0,0,7,35,13,62,44,18,75,36,15,67,30,9,56,45,24,73,23,9,47,20,5,52,23,6,65,22,7,59,18,3,47,24,8,55,11,2,35,14,5,30,14,6,39,17,6,35,13,5,25,9,0,35,15,8,21,43,18,72,52,22,81,43,18,77,42,16,67,48,21,74,35,17,62,38,14,69,42,17,76,39,16,72,37,13,66,39,15,72,32,11,54,32,12,61,41,12,73,31,15,65,31,9,53,42,20,64,19,8,59,24,15,66,20,20,60,21,7,71,29,21,64,-1,-1,-1,-1,-1,-1
"001909",25,25,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,83,35,100,-1,-1,-1,100,43,100,89,33,100,-1,-1,-1,-1,-1,-1,25,25,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,22,89,71,30,98,46,14,88,58,24,88,61,32,88,44,14,90,56,17,89,-1,-1,-1,67,17,83,57,14,100,-1,-1,-1,-1,-1,-1,47,17,86,58,13,98,39,16,84,50,16,84,50,25,79,43,19,86,54,24,92,65,27,98,44,17,91,63,32,93,44,22,78,50,13,93,65,33,92,86,43,100,59,29,88,68,37,89,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,56,20,87,78,34,98,48,12,84,54,17,83,77,40,97,35,15,85,31,5,79,47,3,93,23,4,79,35,6,78,33,0,50,19,5,86,11,0,64,11,0,89,0,0,56,19,0,53,20,0,100,0,0,100,54,20,89,72,29,97,42,11,87,57,23,87,65,33,90,44,14,88,51,22,88,67,31,96,40,12,85,56,25,87,63,40,91,47,16,88,64,22,93,76,29,100,60,19,95,65,23,90,59,18,82,29,0,100,62,31,92,.,.,.,80,20,100,50,33,83,.,.,.,-1,-1,-1
"002901",27,10,59,28,8,64,36,14,66,26,10,54,16,4,49,16,4,56,56,25,88,42,5,84,51,26,88,63,23,90,82,55,91,38,38,75,65,41,88,-1,-1,-1,60,60,100,57,0,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,43,19,74,45,16,76,49,24,79,40,16,71,46,26,73,30,9,63,22,7,48,9,0,45,28,11,61,24,5,38,33,17,33,-1,-1,-1,30,11,63,31,8,67,36,16,70,28,10,60,30,13,64,19,5,52,44,19,76,41,13,75,49,24,79,44,18,74,43,21,73,37,13,72,38,15,70,40,14,73,45,20,75,35,12,68,40,20,69,25,7,59,48,19,75,44,0,67,50,25,88,44,25,63,-1,-1,-1,43,0,71,15,4,47,13,2,50,21,6,56,14,6,41,11,2,36,5,1,42,42,18,72,48,19,77,48,23,78,37,14,68,49,30,73,23,4,54,23,6,57,24,4,63,29,8,65,21,6,52,24,6,58,12,2,42,17,8,39,19,6,43,20,10,49,14,6,32,22,11,42,17,9,25,53,27,81,59,25,85,57,32,86,50,25,77,58,38,83,39,12,69,44,19,74,46,18,77,49,24,79,41,17,71,48,27,74,30,9,63,40,16,73,40,11,74,47,23,79,36,13,70,39,22,72,29,6,63,40,13,69,36,9,73,52,22,83,29,4,58,33,33,50,-1,-1,-1
"003801",28,10,68,40,20,73,35,16,74,20,4,69,43,0,57,9,0,36,52,24,78,86,57,100,42,21,74,50,14,73,-1,-1,-1,-1,-1,-1,75,75,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,28,86,72,38,95,57,31,88,54,25,84,53,31,80,40,13,76,44,20,79,64,27,96,43,23,80,40,19,74,30,15,80,36,4,68,45,19,81,63,25,92,45,23,84,41,16,79,47,22,78,35,8,69,59,30,88,70,37,96,58,33,89,59,29,87,53,20,81,48,16,83,43,19,80,55,25,86,46,25,85,40,14,79,39,14,61,30,11,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,2,56,30,0,60,18,7,61,17,0,60,-1,-1,-1,10,0,30,53,26,83,74,39,93,55,29,86,49,20,81,53,39,79,32,10,67,31,7,72,50,10,88,28,10,76,28,4,70,34,14,63,8,2,48,17,5,51,25,8,63,14,4,55,19,3,56,13,13,27,7,7,27,66,35,91,81,46,98,67,37,93,65,32,91,61,40,86,48,17,81,55,27,85,72,37,94,55,31,87,53,23,84,50,29,79,42,15,72,58,31,89,72,42,95,59,33,91,58,31,86,60,40,83,38,8,85,55,39,88,-1,-1,-1,64,45,100,50,33,92,-1,-1,-1,40,20,60
"003902",41,17,79,41,14,79,54,29,89,33,11,72,47,13,79,20,9,64,54,26,81,67,33,92,65,35,88,46,20,78,86,43,86,23,8,62,77,49,100,67,33,100,92,67,100,69,46,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,31,86,65,32,90,68,40,91,55,25,84,71,42,89,37,17,70,33,11,69,29,2,64,41,17,83,30,9,67,37,15,63,21,7,45,47,21,80,54,23,85,57,28,87,42,14,76,58,34,82,20,10,59,62,33,88,64,30,88,69,41,92,59,29,87,69,36,88,40,21,77,53,26,83,59,28,86,63,36,90,46,18,80,65,35,87,28,11,66,36,12,70,-1,-1,-1,30,10,60,36,7,71,-1,-1,-1,0,0,60,22,9,66,17,3,60,36,20,82,16,3,59,9,0,45,7,0,48,58,29,85,66,33,92,66,38,91,51,21,81,73,49,90,35,13,63,37,12,75,43,13,80,48,17,84,30,7,70,50,25,76,14,4,52,29,12,55,30,12,63,35,16,68,25,9,48,42,23,62,19,9,26,66,36,89,70,36,94,73,44,93,62,29,88,76,47,92,44,21,74,62,33,88,66,32,92,70,42,93,57,25,85,76,45,92,37,18,71,55,27,83,60,30,85,62,34,88,51,22,82,54,34,78,37,15,67,59,30,91,43,29,86,77,46,100,50,15,100,-1,-1,-1,50,38,63
