DISTRICT,DA311TA09R,DA311TA10R,DA311TC09R,DA311TC10R,DA311TM09R,DA311TM10R,DA311TR09R,DA311TR10R,DA311TS09R,DA311TS10R,DA311TW09R,DA311TW10R,DB311TA09R,DB311TA10R,DB311TC09R,DB311TC10R,DB311TM09R,DB311TM10R,DB311TR09R,DB311TR10R,DB311TS09R,DB311TS10R,DB311TW09R,DB311TW10R,DE311TA09R,DE311TA10R,DE311TC09R,DE311TC10R,DE311TM09R,DE311TM10R,DE311TR09R,DE311TR10R,DE311TS09R,DE311TS10R,DE311TW09R,DE311TW10R,DF311TA09R,DF311TA10R,DF311TC09R,DF311TC10R,DF311TM09R,DF311TM10R,DF311TR09R,DF311TR10R,DF311TS09R,DF311TS10R,DF311TW09R,DF311TW10R,DH311TA09R,DH311TA10R,DH311TC09R,DH311TC10R,DH311TM09R,DH311TM10R,DH311TR09R,DH311TR10R,DH311TS09R,DH311TS10R,DH311TW09R,DH311TW10R,DI311TA09R,DI311TA10R,DI311TC09R,DI311TC10R,DI311TM09R,DI311TM10R,DI311TR09R,DI311TR10R,DI311TS09R,DI311TS10R,DI311TW09R,DI311TW10R,DL311TA09R,DL311TA10R,DL311TC09R,DL311TC10R,DL311TM09R,DL311TM10R,DL311TR09R,DL311TR10R,DL311TS09R,DL311TS10R,DL311TW09R,DL311TW10R,DM311TA09R,DM311TA10R,DM311TC09R,DM311TC10R,DM311TM09R,DM311TM10R,DM311TR09R,DM311TR10R,DM311TS09R,DM311TS10R,DM311TW09R,DM311TW10R,DP311TA09R,DP311TA10R,DP311TC09R,DP311TC10R,DP311TM09R,DP311TM10R,DP311TR09R,DP311TR10R,DP311TS09R,DP311TS10R,DP311TW09R,DP311TW10R,DR311TA09R,DR311TA10R,DR311TC09R,DR311TC10R,DR311TM09R,DR311TM10R,DR311TR09R,DR311TR10R,DR311TS09R,DR311TS10R,DR311TW09R,DR311TW10R,DS311TA09R,DS311TA10R,DS311TC09R,DS311TC10R,DS311TM09R,DS311TM10R,DS311TR09R,DS311TR10R,DS311TS09R,DS311TS10R,DS311TW09R,DS311TW10R,DW311TA09R,DW311TA10R,DW311TC09R,DW311TC10R,DW311TM09R,DW311TM10R,DW311TR09R,DW311TR10R,DW311TS09R,DW311TS10R,DW311TW09R,DW311TW10R
"001902",80,84,78,86,87,91,93,94,97,98,95,99,68,74,68,75,86,86,95,83,-4,-4,-1,-4,78,77,78,77,86,87,92,89,94,-4,95,97,83,87,77,83,90,93,95,97,96,98,-4,-4,92,72,-1,70,92,83,-4,94,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,81,78,88,84,90,92,91,97,99,91,98,60,-1,-1,-1,60,-1,-4,-1,-1,-1,-1,-1,48,63,49,67,63,79,81,83,91,94,69,-4,26,42,23,53,45,61,65,67,83,93,67,-1,81,85,80,88,87,92,93,94,96,98,95,99
"001903",75,78,81,82,84,85,91,94,91,93,96,96,32,51,29,56,53,57,82,84,91,77,83,-4,64,72,70,75,77,80,87,91,82,90,92,92,75,78,76,77,85,86,92,95,91,95,99,97,60,71,59,69,71,79,78,92,79,90,-4,-4,-1,50,-1,-1,-1,67,-1,83,-1,-1,-1,-1,60,60,-1,-1,60,-4,-1,-1,-1,-1,-1,-1,75,79,84,87,84,84,90,94,91,92,92,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,55,55,65,64,66,79,87,79,89,89,92,33,44,35,59,48,56,61,67,63,90,-1,-1,79,81,84,86,87,87,92,95,92,95,96,95
"001904",72,76,81,87,79,83,88,93,98,99,92,90,40,56,58,70,53,68,73,88,94,95,91,82,61,65,70,76,72,77,83,90,96,97,87,85,75,76,73,80,82,83,93,96,95,99,98,-4,72,71,80,83,81,87,88,94,-4,-4,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,88,80,86,76,-4,78,-4,-1,-4,-1,-1,69,76,86,94,77,83,85,91,-4,99,85,81,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,47,55,60,76,61,67,78,88,96,98,73,86,30,34,80,45,32,31,47,79,-1,90,38,80,77,79,85,90,84,85,91,94,98,99,93,91
"001906",71,79,83,85,80,86,88,93,84,89,91,95,41,60,56,50,59,71,77,90,88,67,-1,-1,58,66,68,77,69,77,83,88,81,77,90,93,73,78,80,80,81,85,94,97,88,89,-4,-4,73,80,-4,63,77,87,86,-4,-1,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,80,86,91,79,86,80,89,82,88,80,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,61,69,80,57,71,73,85,75,84,78,91,19,26,40,60,25,42,38,59,50,56,20,40,75,81,85,91,84,87,89,93,83,92,88,96
"001907",66,69,77,79,76,77,84,87,92,94,90,94,51,54,65,67,63,64,77,79,82,95,88,87,60,62,70,74,72,72,80,83,87,93,88,93,67,68,72,77,76,76,87,89,92,97,95,96,64,68,70,74,78,78,81,86,92,91,90,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,52,43,50,46,67,33,65,58,67,67,-4,66,69,81,82,77,77,81,84,91,92,84,92,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,51,55,61,68,65,67,75,80,84,90,85,92,31,36,56,50,39,51,44,56,72,82,50,71,79,81,91,92,85,85,92,93,97,97,90,95
"001908",75,80,82,86,82,86,89,91,96,98,93,94,66,72,70,78,78,80,85,87,94,96,90,89,67,77,75,85,77,84,85,87,92,98,89,93,77,83,80,86,84,87,92,95,96,99,95,97,63,77,71,80,75,87,82,88,91,-4,85,88,40,-1,-1,-1,40,-1,80,-1,-1,-1,-1,-1,28,57,29,40,56,77,50,70,-1,-1,80,71,73,77,84,87,80,85,87,87,96,96,90,91,86,81,80,75,86,88,86,-4,-1,-1,80,-1,57,68,65,80,68,78,80,86,90,97,86,89,27,43,38,42,37,60,51,65,71,91,73,78,80,83,88,90,85,88,92,93,98,98,96,96
"001909",77,82,89,91,84,89,88,94,92,96,93,-4,-1,60,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,69,76,89,90,79,86,83,89,90,91,93,-4,80,82,87,92,85,88,95,95,92,95,-4,-4,60,40,-1,-1,60,-1,60,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,82,92,88,83,90,81,93,93,97,86,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,67,78,84,69,78,78,90,84,91,88,-4,36,43,67,50,39,69,60,70,83,86,-1,-1,77,83,91,90,85,89,88,95,95,96,93,-4
"002901",66,74,72,84,78,84,83,87,89,95,92,92,43,75,61,-4,63,79,66,88,75,-4,80,75,60,66,64,77,74,80,75,82,85,91,92,90,67,74,70,80,78,84,85,90,88,95,95,96,60,69,64,77,75,82,79,84,85,92,92,90,67,-1,-1,-1,83,-1,83,-1,-1,-1,-1,-1,26,47,18,58,54,61,45,66,47,76,76,73,66,74,73,88,78,84,81,85,90,95,89,87,67,69,60,80,83,77,92,85,-1,-4,-1,-4,36,49,44,65,55,67,65,72,76,89,85,84,21,39,27,74,36,53,44,54,74,74,60,80,77,82,84,94,84,88,90,91,96,99,92,94
"003801",50,63,51,71,68,73,75,85,92,-4,68,86,40,53,47,67,53,74,64,76,-1,-1,75,70,49,53,50,52,64,69,73,77,91,-4,62,81,54,67,54,68,72,76,78,85,-1,-4,82,95,50,46,29,43,79,63,72,71,-1,-1,78,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,60,48,75,63,70,71,85,88,-4,53,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,34,30,67,43,49,54,59,-1,-1,50,64,10,24,-3,-1,18,50,35,55,-1,-1,17,20,55,69,56,80,71,75,82,90,-4,-4,58,88
"003902",86,88,90,92,91,94,93,95,98,99,93,96,72,76,83,83,86,88,75,91,89,94,90,80,79,82,86,88,87,91,89,91,97,99,90,95,87,88,89,89,92,94,94,96,98,-4,95,98,77,81,75,87,85,91,90,90,96,99,93,96,-1,50,-1,-1,-1,40,-1,67,-1,-1,-1,-1,65,72,67,-4,75,85,77,81,-1,-1,87,95,85,87,92,95,90,94,92,94,98,99,91,95,87,-4,-4,-4,87,-4,-4,-4,-4,-4,-4,-1,64,68,70,78,77,83,82,85,94,98,81,92,41,56,57,66,50,63,62,80,80,87,62,83,89,90,94,93,93,95,95,96,99,99,93,97
