DISTRICT,DA311TA10R,DA311TA11R,DA311TC10R,DA311TC11R,DA311TM10R,DA311TM11R,DA311TR10R,DA311TR11R,DA311TS10R,DA311TS11R,DA311TW10R,DA311TW11R,DB311TA10R,DB311TA11R,DB311TC10R,DB311TC11R,DB311TM10R,DB311TM11R,DB311TR10R,DB311TR11R,DB311TS10R,DB311TS11R,DB311TW10R,DB311TW11R,DE311TA10R,DE311TA11R,DE311TC10R,DE311TC11R,DE311TM10R,DE311TM11R,DE311TR10R,DE311TR11R,DE311TS10R,DE311TS11R,DE311TW10R,DE311TW11R,DF311TA10R,DF311TA11R,DF311TC10R,DF311TC11R,DF311TM10R,DF311TM11R,DF311TR10R,DF311TR11R,DF311TS10R,DF311TS11R,DF311TW10R,DF311TW11R,DH311TA10R,DH311TA11R,DH311TC10R,DH311TC11R,DH311TM10R,DH311TM11R,DH311TR10R,DH311TR11R,DH311TS10R,DH311TS11R,DH311TW10R,DH311TW11R,DI311TA10R,DI311TA11R,DI311TC10R,DI311TC11R,DI311TM10R,DI311TM11R,DI311TR10R,DI311TR11R,DI311TS10R,DI311TS11R,DI311TW10R,DI311TW11R,DL311TA10R,DL311TA11R,DL311TC10R,DL311TC11R,DL311TM10R,DL311TM11R,DL311TR10R,DL311TR11R,DL311TS10R,DL311TS11R,DL311TW10R,DL311TW11R,DM311TA10R,DM311TA11R,DM311TC10R,DM311TC11R,DM311TM10R,DM311TM11R,DM311TR10R,DM311TR11R,DM311TS10R,DM311TS11R,DM311TW10R,DM311TW11R,DR311TA10R,DR311TA11R,DR311TC10R,DR311TC11R,DR311TM10R,DR311TM11R,DR311TR10R,DR311TR11R,DR311TS10R,DR311TS11R,DR311TW10R,DR311TW11R,DS311TA10R,DS311TA11R,DS311TC10R,DS311TC11R,DS311TM10R,DS311TM11R,DS311TR10R,DS311TR11R,DS311TS10R,DS311TS11R,DS311TW10R,DS311TW11R,DW311TA10R,DW311TA11R,DW311TC10R,DW311TC11R,DW311TM10R,DW311TM11R,DW311TR10R,DW311TR11R,DW311TS10R,DW311TS11R,DW311TW10R,DW311TW11R,D2311TA10R,D2311TA11R,D2311TC10R,D2311TC11R,D2311TM10R,D2311TM11R,D2311TR10R,D2311TR11R,D2311TS10R,D2311TS11R,D2311TW10R,D2311TW11R,D3311TA10R,D3311TA11R,D3311TC10R,D3311TC11R,D3311TM10R,D3311TM11R,D3311TR10R,D3311TR11R,D3311TS10R,D3311TS11R,D3311TW10R,D3311TW11R,D4311TA10R,D4311TA11R,D4311TC10R,D4311TC11R,D4311TM10R,D4311TM11R,D4311TR10R,D4311TR11R,D4311TS10R,D4311TS11R,D4311TW10R,D4311TW11R
"001902",84,81,86,87,91,88,94,93,98,-4,98,97,76,66,77,70,85,91,85,91,-4,-4,-4,80,77,78,79,87,87,88,89,90,-4,-4,97,95,86,83,84,84,92,89,97,95,98,-4,98,-4,72,88,70,-4,83,88,94,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,79,88,90,90,88,91,91,99,-4,98,93,66,53,71,74,81,68,84,81,95,-4,92,92,57,55,64,75,70,71,78,80,94,-4,83,86,85,82,88,89,92,89,94,92,98,-4,98,97,-1,69,-1,67,-1,69,-1,92,-1,-1,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001903",78,81,82,82,85,89,95,95,93,96,95,93,53,56,55,53,58,70,85,88,80,90,-4,80,72,74,75,72,80,86,91,92,89,95,92,91,78,81,77,78,87,89,95,96,94,97,97,94,71,71,65,76,80,84,92,86,91,-4,-4,-4,63,-1,60,-1,75,-1,88,-1,-1,-1,-1,-1,60,-1,-1,-1,-4,-1,80,-1,-1,-1,-1,-1,78,80,85,86,83,88,94,93,91,95,93,92,55,62,64,68,67,77,88,87,88,93,92,82,56,61,66,77,71,71,86,82,85,86,93,86,80,82,85,84,87,90,96,96,94,96,95,92,-1,76,-1,-1,-1,82,-1,88,-1,-1,-1,-4,-1,83,-1,-1,-1,83,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001904",76,79,86,87,84,85,93,93,98,97,90,97,59,58,72,74,71,71,88,87,93,95,82,93,65,73,75,82,78,82,90,91,95,95,85,94,76,76,80,84,84,81,96,95,98,96,-4,98,67,79,71,90,88,86,94,93,-4,-4,91,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,73,67,-4,-4,80,-4,93,-4,-4,-1,-1,76,82,92,90,84,89,91,92,98,99,81,97,56,60,75,78,71,71,88,86,96,95,87,96,48,70,62,81,65,79,84,85,88,95,81,-4,79,83,90,89,85,88,94,94,98,97,91,97,-1,69,-1,-1,-1,69,-1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001906",78,82,85,93,85,87,94,94,90,-4,94,91,62,67,50,78,76,71,90,95,67,-4,-1,83,66,76,80,88,77,84,88,89,80,-4,89,88,79,83,81,88,86,88,97,96,89,-4,-4,-4,80,70,63,-1,87,83,-4,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,80,90,96,84,85,90,93,91,-4,91,80,62,61,80,80,73,72,86,87,86,-4,92,67,34,70,71,82,53,80,72,87,73,-4,50,71,80,85,91,94,85,90,93,97,93,-4,95,93,-1,67,-1,-1,-1,67,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001907",69,68,80,75,77,79,87,86,94,94,94,87,54,56,68,64,64,70,79,80,94,88,88,84,62,64,74,69,72,77,83,84,92,92,92,85,68,70,77,74,76,80,90,89,96,96,96,92,68,67,74,71,78,81,86,86,91,95,97,88,-1,63,-1,-1,-1,75,-1,75,-1,-1,-1,-1,53,47,50,47,69,66,65,58,67,85,89,62,69,67,82,76,77,79,84,84,91,92,91,83,55,58,68,67,67,72,81,81,88,90,92,82,56,61,73,69,67,71,78,85,80,77,84,79,81,79,92,90,85,86,93,92,96,97,95,91,-1,78,-1,83,-1,83,-1,91,-1,-1,-1,89,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001908",79,77,86,89,86,86,91,90,97,96,94,90,72,67,78,82,80,77,86,89,95,89,90,69,77,71,84,85,83,82,87,87,96,94,93,87,82,78,85,88,87,86,95,92,98,96,96,93,76,66,78,79,87,81,89,82,-4,91,88,88,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,58,45,40,44,77,64,71,66,-1,-1,71,91,77,76,86,90,85,85,88,89,96,96,91,86,68,58,79,76,77,72,86,81,95,90,89,80,56,56,65,88,70,76,78,82,88,87,82,65,83,82,90,94,88,89,93,93,97,98,96,96,-1,88,-1,80,-1,93,-1,95,-1,-4,-1,-4,-1,75,-1,78,-1,81,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001909",82,87,90,91,89,93,94,96,96,93,-4,95,60,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,76,84,89,90,86,93,90,96,92,91,-4,91,82,86,89,92,88,93,95,95,95,95,-4,97,40,82,-1,-1,80,91,60,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,87,90,89,89,94,94,96,97,91,-4,93,69,74,82,79,81,88,91,92,92,83,-4,90,54,67,69,81,83,81,83,92,92,80,-4,80,83,86,89,90,89,93,95,96,96,92,-4,94,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"002901",73,73,83,77,84,85,87,86,94,94,91,90,67,51,92,45,74,80,90,71,-4,92,80,82,65,65,76,67,80,81,83,80,89,88,90,86,73,74,79,75,84,86,90,89,94,94,96,93,68,68,76,71,82,82,85,83,91,92,89,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,42,52,26,61,64,68,55,74,67,69,65,73,71,87,79,84,83,85,83,93,94,87,86,49,49,67,55,68,70,74,73,88,87,84,78,46,43,74,52,68,63,71,73,76,74,85,56,82,83,94,90,88,90,92,91,97,97,95,92,-1,71,-1,67,-1,86,-1,86,-1,92,-1,90,-1,70,-1,86,-1,89,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003801",64,68,71,77,75,81,85,88,93,97,85,83,56,62,67,55,77,77,78,87,-1,90,77,94,54,61,54,67,72,76,79,84,86,94,80,85,67,66,67,76,78,82,85,86,-4,96,95,83,44,42,50,67,67,64,74,75,-1,83,-4,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,70,76,77,72,79,86,91,88,97,78,82,38,42,71,60,54,63,62,82,-1,-4,67,75,39,44,50,29,70,68,70,77,-1,-1,44,67,70,76,80,85,76,86,90,92,-4,-4,85,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,-1,-4,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003902",87,85,91,91,94,91,95,94,99,98,96,94,78,64,83,73,88,74,91,85,90,94,85,-4,82,78,87,86,90,87,92,91,98,97,94,90,88,86,88,89,94,90,96,95,99,99,97,98,81,78,86,87,91,88,90,89,99,96,96,89,50,82,-1,89,50,91,67,91,-1,-4,-1,-1,73,64,-4,90,85,88,82,74,-1,-1,95,72,87,84,93,93,94,91,94,93,99,97,95,89,68,63,77,78,83,76,86,86,97,95,92,82,61,52,70,55,75,68,86,80,88,83,82,92,89,87,92,93,95,92,96,96,99,98,96,95,-1,92,-1,94,-1,92,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
