DISTRICT,DA311CA12R,DA311CC12R,DA311CM12R,DA311CR12R,DA311CS12R,DA311TA12R,DA311TC12R,DA311TM12R,DA311TR12R,DA311TS12R,DB311CA12R,DB311CC12R,DB311CM12R,DB311CR12R,DB311CS12R,DB311TA12R,DB311TC12R,DB311TM12R,DB311TR12R,DB311TS12R,DE311CA12R,DE311CC12R,DE311CM12R,DE311CR12R,DE311CS12R,DE311TA12R,DE311TC12R,DE311TM12R,DE311TR12R,DE311TS12R,DF311CA12R,DF311CC12R,DF311CM12R,DF311CR12R,DF311CS12R,DF311TA12R,DF311TC12R,DF311TM12R,DF311TR12R,DF311TS12R,DH311CA12R,DH311CC12R,DH311CM12R,DH311CR12R,DH311CS12R,DH311TA12R,DH311TC12R,DH311TM12R,DH311TR12R,DH311TS12R,DI311CA12R,DI311CC12R,DI311CM12R,DI311CR12R,DI311CS12R,DI311TA12R,DI311TC12R,DI311TM12R,DI311TR12R,DI311TS12R,DL311CA12R,DL311CC12R,DL311CM12R,DL311CR12R,DL311CS12R,DL311TA12R,DL311TC12R,DL311TM12R,DL311TR12R,DL311TS12R,DM311CA12R,DM311CC12R,DM311CM12R,DM311CR12R,DM311CS12R,DM311TA12R,DM311TC12R,DM311TM12R,DM311TR12R,DM311TS12R,DR311CA12R,DR311CC12R,DR311CM12R,DR311CR12R,DR311CS12R,DR311TA12R,DR311TC12R,DR311TM12R,DR311TR12R,DR311TS12R,DS311CA12R,DS311CC12R,DS311CM12R,DS311CR12R,DS311CS12R,DS311TA12R,DS311TC12R,DS311TM12R,DS311TR12R,DS311TS12R,DW311CA12R,DW311CC12R,DW311CM12R,DW311CR12R,DW311CS12R,DW311TA12R,DW311TC12R,DW311TM12R,DW311TR12R,DW311TS12R,D2311CA12R,D2311CC12R,D2311CM12R,D2311CR12R,D2311CS12R,D2311TA12R,D2311TC12R,D2311TM12R,D2311TR12R,D2311TS12R,D3311CA12R,D3311CC12R,D3311CM12R,D3311CR12R,D3311CS12R,D3311TA12R,D3311TC12R,D3311TM12R,D3311TR12R,D3311TS12R,D4311CA12R,D4311CC12R,D4311CM12R,D4311CR12R,D4311CS12R,D4311TA12R,D4311TC12R,D4311TM12R,D4311TR12R,D4311TS12R
"001902",4,9,21,30,40,75,83,83,93,99,13,13,13,38,38,63,63,63,-4,-4,9,10,19,22,24,61,71,81,83,-4,3,7,25,30,29,70,75,79,97,-4,14,14,14,29,14,57,57,71,86,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,19,30,46,77,86,85,92,98,3,3,9,19,15,53,65,71,83,97,-3,9,9,8,-3,42,55,64,67,91,1,9,24,30,44,79,88,87,94,99,20,-1,-1,20,-1,60,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001903",4,8,20,31,36,68,74,79,95,94,-3,-3,-3,-3,17,67,67,67,-4,83,3,5,12,14,27,59,70,73,94,92,2,1,23,48,29,73,75,85,99,98,15,31,23,15,38,54,54,85,92,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,18,17,42,65,74,74,91,91,-3,1,7,7,17,52,58,66,89,86,-3,7,-3,-3,-3,7,20,47,60,60,3,7,21,33,35,69,76,79,95,95,-3,-3,17,50,50,83,83,83,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001904",5,13,18,18,38,80,87,87,94,98,-3,-3,-3,14,21,79,77,86,-4,-4,2,6,14,14,33,76,84,86,90,98,4,7,11,20,29,76,83,84,93,96,-3,20,20,20,60,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,18,24,16,46,84,92,90,94,-4,-3,3,-3,8,15,65,78,72,90,97,-3,13,19,6,13,50,73,81,69,94,6,13,21,17,40,80,90,88,94,97,13,25,25,25,38,75,75,75,75,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001906",2,20,9,12,43,63,91,72,90,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,14,9,10,32,59,82,77,80,-4,-3,13,4,13,35,70,96,74,-4,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,26,13,11,48,58,87,71,82,-4,-3,5,-3,10,18,23,77,45,76,95,-3,11,-3,-3,11,11,56,67,63,89,2,18,9,12,45,64,93,70,93,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001907",9,19,23,20,47,73,87,82,87,98,3,9,12,11,20,65,80,73,83,98,3,8,15,9,35,69,85,80,86,97,10,19,24,24,44,75,86,84,92,98,2,9,16,7,44,70,83,83,84,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,10,60,70,10,80,8,19,23,17,50,71,87,80,84,97,2,8,11,10,34,64,82,76,82,97,-3,5,-3,25,13,35,81,48,58,96,21,38,39,41,72,82,97,87,94,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,60,80,40,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001908",6,19,26,21,54,77,84,90,94,98,2,13,28,19,26,66,77,87,89,98,3,15,23,17,46,76,81,88,96,99,6,16,23,29,47,76,83,91,96,98,8,17,29,17,75,88,88,92,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,23,29,13,62,78,85,89,92,99,-3,4,9,11,28,56,70,78,89,96,-3,-3,10,14,19,62,67,86,90,86,7,22,23,25,60,77,85,90,94,98,14,29,29,14,71,86,86,86,-4,-4,-3,17,50,-3,67,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"001909",2,23,17,19,49,89,94,94,96,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,29,21,21,50,93,-4,-4,93,-4,3,10,10,29,39,84,90,90,97,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,41,27,5,64,95,-4,-4,95,-4,-3,13,13,14,38,75,88,-4,86,-4,-3,29,29,43,14,86,-4,-4,86,-4,2,24,18,15,47,88,94,94,96,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"002901",6,16,18,16,45,70,78,79,88,92,-3,-3,-3,-3,44,56,78,78,67,-4,-3,5,6,9,33,61,70,72,77,85,5,14,17,19,40,69,75,80,90,92,3,10,15,12,37,64,71,75,85,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,25,13,-3,38,6,17,18,14,50,71,80,79,86,93,-3,2,3,6,21,49,62,65,78,86,-3,2,-3,4,11,21,41,45,48,59,10,27,24,25,58,81,89,88,94,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003801",5,10,21,27,52,74,86,81,90,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,6,31,50,69,81,69,88,94,5,10,24,33,52,81,81,86,-4,95,-3,-3,-3,40,20,60,60,60,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,19,20,52,67,90,76,80,95,-3,-3,-3,22,22,44,89,56,78,89,-3,-3,-3,20,20,60,80,60,80,80,6,12,24,22,61,76,88,85,91,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003902",10,19,28,23,57,78,87,85,93,98,-3,-3,-3,18,45,36,64,55,64,91,4,12,17,11,46,69,81,79,90,97,11,15,27,27,51,75,86,81,95,99,6,15,21,18,47,75,81,84,93,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,23,29,20,62,80,88,89,92,98,1,3,6,8,29,53,72,64,84,94,-3,4,4,-3,11,36,68,44,78,81,11,20,31,24,59,79,89,86,95,99,13,13,38,43,63,88,88,-4,-4,-4,29,43,43,43,71,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
