District Number,District Prior SY Y1 Annual Dropout for Grades 07-08: All Students Rate,District Prior SY Y2 Annual Dropout for Grades 07-08: All Students Rate,District Prior SY Y1 Annual Dropout for Grades 09-12: All Students Rate,District Prior SY Y2 Annual Dropout for Grades 09-12: All Students Rate
'057905,0.9,0.9,5.8,4.8
'057905,0.9,0.6,4.8,3.6
'057905,,0.5,,2.8
'057905,0.5,0.8,2.8,3
'057905,0.8,0.6,3,2.3
'057905,0.6,0.7,2.3,2.1
'057905,0.7,1.1,2.1,2.3
'057905,1.1,1,2.3,2.2
'057905,1,1.3,2.2,2.4
'057905,1.3,1.5,2.4,2.9
'057905,1.5,1.1,2.9,3.3
'057905,1.1,1.9,3.3,3.9
'057905,1.9,2.5,3.9,4.5
