District Number,District Prior SY Y1 Annual Dropout for Grades 07-08: All Students Rate,District Prior SY Y2 Annual Dropout for Grades 07-08: All Students Rate,District Prior SY Y1 Annual Dropout for Grades 09-12: All Students Rate,District Prior SY Y2 Annual Dropout for Grades 09-12: All Students Rate
'101912,0.5,0.6,4.8,3.3
'101912,0.6,0.5,3.3,3.7
'101912,,0.3,,3.1
'101912,0.3,0.4,3.1,3.9
'101912,0.4,0.3,3.9,3.1
'101912,0.3,0.5,3.1,3.2
'101912,0.5,1,3.2,3.9
'101912,1,1,3.9,4
'101912,1,1.5,4,4.1
'101912,1.5,1.9,4.1,4
'101912,1.9,1.7,4,3.9
'101912,1.7,1.8,3.9,3.1
'101912,1.8,3.4,3.1,4
